Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Featured Ingredients (product.metafields.custom.featured_ingredients),How to Use (product.metafields.custom.how_to_use),Specific Item Info (product.metafields.custom.specific_item_info),Why We Love It (product.metafields.custom.why_we_love_it),Product rating count (product.metafields.reviews.rating_count),Active ingredient (product.metafields.shopify.active-ingredient),Color (product.metafields.shopify.color-pattern),Constitutive ingredients (product.metafields.shopify.constitutive-ingredients),Dispenser type (product.metafields.shopify.dispenser-type),Fragrance level (product.metafields.shopify.fragrance-level),Moisturizer type (product.metafields.shopify.moisturizer-type),Package type (product.metafields.shopify.package-type),Product certifications & standards (product.metafields.shopify.product-certifications-standards),Product form (product.metafields.shopify.product-form),Skin care effect (product.metafields.shopify.skin-care-effect),Skin care features (product.metafields.shopify.skin-care-features),Skin care mask type (product.metafields.shopify.skin-care-mask-type),Suitable for skin type (product.metafields.shopify.suitable-for-skin-type),Target gender (product.metafields.shopify.target-gender),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
aprilskin-magic-snow-cushoin-black-3-0-original-product-refill-special-set,APRILSKIN Magic Snow Cushoin Black 3.0 (Original Product + Refill Special Set),,April Skin,Health & Beauty > Personal Care > Cosmetics > Makeup > Face Makeup,Powder & Pact,,TRUE,Color,#21 LIGHT BEIGE,,,,,,,,,0,shopify,100,deny,manual,30.8,44,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/9ec41b1f-96c1-414c-91c7-7923568face7_ef220e3d-6119-4668-8a5d-8f6e5b42becc.jpg?v=1742941186,1,,FALSE,,,,,,,,,,,,,,"It contains more than 44% moisture serum base and makes you feel confident about your skin under any lighting.It is a product that contains APRILSKIN's special triple cover powder that provides high coverage that perfectly covers any blemishes in an instant.Using a micro-multi-cover powder that combines ALUMINA powder with a transparent refractive index similar to that of the skin with TIO2 powder with excellent coverage, this product reflects the light well to make your skin look milky.FIXATIVE POLYMER, a key ingredient of high adhesion, forms a fixing film that adheres to the skin as soon as it is applied to the skin, and it firmly makes the makeup last long and creates Mochi-like skin that lasts all day long.It contains 44% of the moisture serum essence, and the vegetable moisture serum provides moisture to skin, which benefits all types of skin - dry, oily, and combination types - solving skin problems such as clumping, floating, and dead skin cells.","<img style=""display: block; margin-left: auto; margin-right: auto"" src=""https://cdn.shopify.com/s/files/1/0668/2555/2008/files/c9518090-dbc1-40f5-b82c-d32b88df09db.jpg?v=1742728479"" alt="""">","<div class=""modal-body type-inner-scroll""><div class=""modal-contents""><!----> <div class=""modal-cont-box type02""><div class=""prd-description""><table class=""table prd-desc-tbl""><colgroup><col class=""col01""> <col class=""col02""></colgroup> <tbody id=""descTbody""><tr><th scope=""row"">Content volume or weight</th> <td>15g+15g</td></tr><tr><th scope=""row"">Ideal for</th> <td>For all skin types</td></tr><tr><th scope=""row"">Expiration date (or expiration date after opening)</th> <td>30 months after manufacturing date </td></tr><tr><th scope=""row"">How to Use</th> <td>Pick up some of the content with a puff and pat around the face for even-looking application. Apply another coat over the face for better coverage. It can also be used for touch-ups after make-up. </td></tr><tr><th scope=""row"">Cosmetics manufacturers, cosmetics responsible distributors, and customized cosmetics sellers</th> <td>Hankook Cosmetics Co., Ltd. / APR Co., Ltd. </td></tr><tr><th scope=""row"">Country of Manufacture</th> <td>South Korea</td></tr><tr><th scope=""row"">Ingredients</th> <td>#21<br>Mineral Water, Titanium Dioxide, Cyclopentasiloxane, Ethylhexyl Methoxycinnamate, Ethylhexyl Salicylate, Cyclohexasiloxane, C12-15 Alkyl Benzoate, Niacinamide, Octocrylene, Zinc Oxide, Trimethylsiloxysilicate, PEG-30 Dipolyhydroxystearate, Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer, PEG-10 Dimethicone, Butylene Glycol, Sodium Chloride, Quaternium-18 Bentonite, Dimethicone, Vaccinium Angustifolium (Blueberry) Fruit Extract, Phyllanthus Emblica Fruit Extract, Aloe Barbadensis Leaf Extract, Euterpe Oleracea Fruit Extract, Water, Aluminum Hydroxide, Triethoxycaprylylsilane, Chlorphenesin, Phenoxyethanol, Adenosine, Fragrance, (+/-) Iron Oxide Yellow (CI 77492), Iron Oxide Red (CI 77491), Iron Oxide Black (CI 77499), Benzyl Benzoate, Linalool, Alpha-Isomethyl Ionone, Limonene<br><br>#22<br>Mineral Water, Titanium Dioxide, Cyclopentasiloxane, Ethylhexyl Methoxycinnamate, Ethylhexyl Salicylate, Cyclohexasiloxane, C12-15 Alkyl Benzoate, Niacinamide, Octocrylene, Zinc Oxide, Trimethylsiloxysilicate, PEG-30 Dipolyhydroxystearate, Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer, PEG-10 Dimethicone, Butylene Glycol, Sodium Chloride, Quaternium-18 Bentonite, Dimethicone, Vaccinium Angustifolium (Blueberry) Fruit Extract, Phyllanthus Emblica Fruit Extract, Aloe Barbadensis Leaf Extract, Euterpe Oleracea Fruit Extract, Water, Aluminum Hydroxide, Triethoxycaprylylsilane, Chlorphenesin, Phenoxyethanol, Adenosine, Fragrance, (+/-) Iron Oxide Yellow (CI 77492), Iron Oxide Red (CI 77491), Iron Oxide Black (CI 77499), Benzyl Benzoate, Linalool, Alpha-Isomethyl Ionone, Limonene<br><br>#23<br>Mineral Water, Titanium Dioxide, Cyclopentasiloxane, Ethylhexyl Methoxycinnamate, Ethylhexyl Salicylate, Cyclohexasiloxane, C12-15 Alkyl Benzoate, Niacinamide, Octocrylene, Zinc Oxide, Trimethylsiloxysilicate, PEG-30 Dipolyhydroxystearate, Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer, PEG-10 Dimethicone, Butylene Glycol, Sodium Chloride, Quaternium-18 Bentonite, Dimethicone, Vaccinium Angustifolium (Blueberry) Fruit Extract, Phyllanthus Emblica Fruit Extract, Aloe Barbadensis Leaf Extract, Euterpe Oleracea Fruit Extract, Water, Aluminum Hydroxide, Triethoxycaprylylsilane, Chlorphenesin, Phenoxyethanol, Adenosine, Fragrance, (+/-) Iron Oxide Yellow (CI 77492), Iron Oxide Red (CI 77491), Iron Oxide Black (CI 77499), Benzyl Benzoate, Linalool, Alpha-Isomethyl Ionone, Limonene</td></tr><tr><th scope=""row"">MFDS Evaluation of Functional Cosmetics</th> <td>Completion of functional cosmetics review (or report) according to the Cosmetics Act</td></tr><tr><th scope=""row"">Precautions when using</th> <td>1) Consult a specialist if you have abnormal symptoms or side effects such as a skin rash, swelling, or itchiness during use or from exposure to direct sunlight after use.<br>2) Do not use on wounds or other affected areas.<br>3) Storage and handling instructions<br>a) Keep out of reach of children.<br>b) Keep away from direct sunlight.</td></tr><tr><th scope=""row"">Quality Assurance Standard</th> <td>If the product is new and unopened (no signs of opening) within 7 days of delivery.</td></tr><tr><th scope=""row"">Customer Service</th> <td>+82-2-6335-0574</td></tr></tbody></table></div></div></div></div>","It is a product that has surpassed 3.47 million sales with its recognized and unrivalled quality.3.3 million products were sold out. This Magic Snow Cushion is, according to reviews, provides a perfect pore cover and 24-hour lasting fixed cover.According to the GlowPick satisfaction survey of 298 people, it showed 95.3% satisfaction with the cushion's flushing and blemish coverage, 92% overall satisfaction, 93.93% smoothness application, and 93.9% in moisturization",,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/8a8cd275-c91d-44f8-8d38-575c8573454f_a4c115e2-9656-490e-884d-9a3a01bb3938.jpg?v=1742941186,lb,,,TRUE,,,TRUE,,,active
aprilskin-magic-snow-cushoin-black-3-0-original-product-refill-special-set,,,,,,,,,No. 22 Pink Beige,,,,,,,,,0,shopify,100,deny,manual,30.8,44,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/3cc32f4b-3e9c-4160-88d3-8e4bbf391a50_98f7ce2d-8588-4f3d-8237-9d87b79af28a.jpg?v=1742941186,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/5667559f-5846-45d9-8a71-acd1d5de18fb_7c757857-d59d-4f29-bdae-8e76390878a3.jpg?v=1742941186,lb,,,,,,,,,
aprilskin-magic-snow-cushoin-black-3-0-original-product-refill-special-set,,,,,,,,,#23 NATURAL BEIGE,,,,,,,,,0,shopify,100,deny,manual,30.8,44,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/8a7b8a99-1554-480b-973b-6859d620bf69_58133428-89ed-4323-856d-05cab753ae5c.jpg?v=1742941186,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/37a4acb2-4911-4b87-a953-f2b8c9f09821_d147bfcc-f63b-4f5d-82b5-8abf3c0549e5.jpg?v=1742941186,lb,,,,,,,,,
aprilskin-magic-snow-cushoin-black-3-0-original-product-refill-special-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/34602a10-9dc1-41bc-adbe-57b30d288acf_fe60d3f7-dd77-4f17-b5bb-1ec15013613f.jpg?v=1742941186,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aprilskin-magic-snow-cushoin-black-3-0-original-product-refill-special-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/8a8cd275-c91d-44f8-8d38-575c8573454f_a4c115e2-9656-490e-884d-9a3a01bb3938.jpg?v=1742941186,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aprilskin-magic-snow-cushoin-black-3-0-original-product-refill-special-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/5667559f-5846-45d9-8a71-acd1d5de18fb_7c757857-d59d-4f29-bdae-8e76390878a3.jpg?v=1742941186,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aprilskin-magic-snow-cushoin-black-3-0-original-product-refill-special-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/37a4acb2-4911-4b87-a953-f2b8c9f09821_d147bfcc-f63b-4f5d-82b5-8abf3c0549e5.jpg?v=1742941186,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amuse-ceramic-skin-perfector-cushion-15g,AMUSE Ceramic Skin Perfector Cushion 15g,,AMUSE,Health & Beauty > Personal Care > Cosmetics > Makeup > Face Makeup,Powder & Pact,,TRUE,Color,[Original + Refill] 01 Porcelain,,,,,,,,,0,shopify,100,deny,manual,34.4,43,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/fc737ee1-dbc5-4649-855a-7b29e3ca944b_8c714a64-4c4e-416a-9c77-6b9a30ee89f7.jpg?v=1743835684,1,,FALSE,,,,,,,,,,,,,,,"<img style=""display: block; margin-left: auto; margin-right: auto"" src=""https://cdn.shopify.com/s/files/1/0668/2555/2008/files/4ff5dd76-9749-42c7-b060-a716d4c87471.jpg?v=1742728873"" alt="""">","<div class=""modal-body type-inner-scroll""><div class=""modal-contents""><!----> <div class=""modal-cont-box type02""><div class=""prd-description""><table class=""table prd-desc-tbl""><colgroup><col class=""col01""> <col class=""col02""></colgroup> <tbody id=""descTbody""><tr><th scope=""row"">Content volume or weight</th> <td>15g</td></tr><tr><th scope=""row"">Ideal for</th> <td>For all skin types</td></tr><tr><th scope=""row"">Expiration date (or expiration date after opening)</th> <td>30 months before opening / 12 months after opening</td></tr><tr><th scope=""row"">How to Use</th> <td>Pat around your face with a puff to finish your vegan face makeup. <br></td></tr><tr><th scope=""row"">Cosmetics manufacturers, cosmetics responsible distributors, and customized cosmetics sellers</th> <td>COSMAX Co., Ltd. / AMUSE Co., Ltd. </td></tr><tr><th scope=""row"">Country of Manufacture</th> <td>South Korea</td></tr><tr><th scope=""row"">Ingredients</th> <td>[01 Porcelain]<br>Water, Titanium Dioxide (CI 77891), Cyclopentasiloxane, Propanediol, Trimethylsiloxysilicate, Synthetic Fluorphlogopite, Caprylic/Capric Triglyceride, Cetyl Ethylhexanoate, Diphenylsiloxy Phenyl Trimethicone, Methyl Trimethicone, Lauryl PEG-10 Tris(Trimethylsiloxy)silylethyl Dimethicone, Hydrogenated Poly(C6-14 Olefin), Niacinamide, Trisiloxane, PEG-10 Dimethicone, Dimethicone, 1,2-Hexanediol, Glycerine, Chitosan, Simmondsia Chinensis (Jojoba) Seed Oil, Moringa Oleifera Seed Oil, Sodium Hyaluronate, Solanum Lycopersicum (Tomato) Fruit Extract, Soluble Collagen, Isododecane, Disteardimonium Hectorite, HDI/Trimethylol Hexyllactone Crosspolymer, Dimethicone Crosspolymer, Stearic Acid, Alumina, Aluminum Hydroxide, Polyhydroxystearic Acid, Glyceryl Caprylate, Lauroyl Lysine, Glycolipids, Ethylhexyl Palmitate, Isopropyl Myristate, Isostearic Acid, Lecithin, Triethoxycaprylylsilane, Adenosine, Polyglyceryl-3 Polyricinoleate, Silica, Bis-Hydroxyethoxypropyl Dimethicone/IPDI Copolymer Ethylcarbamate, Tocopherol, Squalane, Ceramide NP, Phytosphingosine, Hydrogenated Lecithin, Linolenic Acid, Caprylyl Glycol, Acetyl Hexapeptide-8, Isostearyl Alcohol, Fragrance, Iron Oxide Yellow (CI 77492), Iron Oxide Red (CI 77491), Iron Oxide Yellow (CI 77492), Iron Oxide Black (CI 77499)<br><br>[1.5 Natural]<br>Water, Titanium Dioxide (CI 77891), Cyclopentasiloxane, Propanediol, Trimethylsiloxysilicate, Caprylic/Capric Triglyceride, Cetyl Ethylhexanoate, Diphenylsiloxy Phenyl Trimethicone, Methyl Trimethicone, Lauryl PEG-10 Tris(Trimethylsiloxy)silylethyl Dimethicone, Hydrogenated Poly(C6-14 Olefin), Synthetic Fluorphlogopite, Niacinamide, Trisiloxane, PEG-10 Dimethicone, Dimethicone, 1,2-Hexanediol, Glycerine, Chitosan, Simmondsia Chinensis (Jojoba) Seed Oil, Moringa Oleifera Seed Oil, Sodium Hyaluronate, Solanum Lycopersicum (Tomato) Fruit Extract, Soluble Collagen, Isododecane, Disteardimonium Hectorite, HDI/Trimethylol Hexyllactone Crosspolymer, Dimethicone Crosspolymer, Stearic Acid, Alumina, Aluminum Hydroxide, Polyhydroxystearic Acid, Glyceryl Caprylate, Lauroyl Lysine, Glycolipids, Ethylhexyl Palmitate, Isopropyl Myristate, Isostearic Acid, Lecithin, Triethoxycaprylylsilane, Adenosine, Polyglyceryl-3 Polyricinoleate, Silica, Bis-Hydroxyethoxypropyl Dimethicone/IPDI Copolymer Ethylcarbamate, Tocopherol, Squalane, Ceramide NP, Phytosphingosine, Hydrogenated Lecithin, Linolenic Acid, Caprylyl Glycol, Acetyl Hexapeptide-8, Isostearyl Alcohol, Fragrance, Iron Oxide Yellow (CI 77492), Iron Oxide Red (CI 77491), Iron Oxide Yellow (CI 77492), Iron Oxide Black (CI 77499)<br><br>[02 Healthy]<br>Water, Titanium Dioxide (CI 77891), Cyclopentasiloxane, Propanediol, Trimethylsiloxysilicate, Caprylic/Capric Triglyceride, Cetyl Ethylhexanoate, Diphenylsiloxy Phenyl Trimethicone, Methyl Trimethicone, Lauryl PEG-10 Tris(Trimethylsiloxy)silylethyl Dimethicone, Hydrogenated Poly(C6-14 Olefin), Synthetic Fluorphlogopite, Niacinamide, Trisiloxane, PEG-10 Dimethicone, Iron Oxide Yellow (CI 77492), Dimethicone, 1,2-Hexanediol, Glycerine, Chitosan, Simmondsia Chinensis (Jojoba) Seed Oil, Moringa Oleifera Seed Oil, Sodium Hyaluronate, Solanum Lycopersicum (Tomato) Fruit Extract, Soluble Collagen, Isododecane, Disteardimonium Hectorite, HDI/Trimethylol Hexyllactone Crosspolymer, Dimethicone Crosspolymer, Stearic Acid, Alumina, Aluminum Hydroxide, Polyhydroxystearic Acid, Glyceryl Caprylate, Lauroyl Lysine, Glycolipids, Ethylhexyl Palmitate, Isopropyl Myristate, Isostearic Acid, Lecithin, Triethoxycaprylylsilane, Adenosine, Polyglyceryl-3 Polyricinoleate, Silica, Bis-Hydroxyethoxypropyl Dimethicone/IPDI Copolymer Ethylcarbamate, Tocopherol, Squalane, Ceramide NP, Phytosphingosine, Hydrogenated Lecithin, Linolenic Acid, Caprylyl Glycol, Acetyl Hexapeptide-8, Isostearyl Alcohol, Fragrance, Iron Oxide Red (CI 77491), Iron Oxide Yellow (CI 77492), Iron Oxide Black (CI 77499)<br></td></tr><tr><th scope=""row"">MFDS Evaluation of Functional Cosmetics</th> <td>Completion of functional cosmetics review (or report) according to the Cosmetics Act</td></tr><tr><th scope=""row"">Precautions when using</th> <td>1. Consult a specialist if you have abnormal symptoms or side effects such as a skin rash, swelling, or itchiness during use or from exposure to direct sunlight after use.<br>2. Do not use on wounds or other affected areas.<br>3. Storage and handling instructions<br> a) Keep out of reach of children.<br> b) Keep away from direct sunlight.</td></tr><tr><th scope=""row"">Quality Assurance Standard</th> <td>Compensation for defective products is provided according to the criteria for the settlement of consumer disputes notified publicly by the Fair Trade Commission.<br></td></tr><tr><th scope=""row"">Customer Service</th> <td>+82-1833-7689</td></tr></tbody></table></div></div></div></div>",,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/e4e9eee2-6e39-4c5c-bdde-43faf4d8d1a0_c17c093a-d347-4852-aeb0-3014066262f7.jpg?v=1742941176,lb,,,TRUE,,,TRUE,,,active
amuse-ceramic-skin-perfector-cushion-15g,,,,,,,,,[Original + Refill] 0.5 Fair,,,,,,,,,0,shopify,100,deny,manual,34.4,43,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/96771b2c-57b6-45b8-927d-16f125159057_48233253-6293-46e6-9a19-bcbbd22d4e4d.jpg?v=1743834691,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/5d2c24aa-3cf5-4d78-9c7b-0b539cf4fd3b_0c010e3b-01af-48e8-9ed3-4154cf3813c0.jpg?v=1742941176,lb,,,,,,,,,
amuse-ceramic-skin-perfector-cushion-15g,,,,,,,,,[Original + Refill] 1.5 Natural,,,,,,,,,0,shopify,100,deny,manual,34.4,43,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/72064605-5f43-4349-a924-1e52334b0ed6_d339db96-7917-4eaf-96c2-3bbbea517285.jpg?v=1743834623,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/0c5e61d8-0fbf-4af6-8c1c-0f45f7085a72_5904c33f-ca41-41f2-85c3-2d68a636eced.jpg?v=1742941176,lb,,,,,,,,,
