Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Best (product.metafields.custom.best),Featured Ingredients (product.metafields.custom.featured_ingredients),Gift (product.metafields.custom.gift),Hot deal (product.metafields.custom.hot_deal),How to Use (product.metafields.custom.how_to_use),New (product.metafields.custom.new),Specific Item Info (product.metafields.custom.specific_item_info),Why We Love It (product.metafields.custom.why_we_love_it),Product rating count (product.metafields.reviews.rating_count),Active ingredient (product.metafields.shopify.active-ingredient),Color (product.metafields.shopify.color-pattern),Constitutive ingredients (product.metafields.shopify.constitutive-ingredients),Dispenser type (product.metafields.shopify.dispenser-type),Fragrance level (product.metafields.shopify.fragrance-level),Moisturizer type (product.metafields.shopify.moisturizer-type),Package type (product.metafields.shopify.package-type),Product certifications & standards (product.metafields.shopify.product-certifications-standards),Product form (product.metafields.shopify.product-form),Skin care effect (product.metafields.shopify.skin-care-effect),Skin care features (product.metafields.shopify.skin-care-features),Skin care mask type (product.metafields.shopify.skin-care-mask-type),Suitable for skin type (product.metafields.shopify.suitable-for-skin-type),Target gender (product.metafields.shopify.target-gender),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Status
hince-second-skin-mesh-matte-cushion-main-product-12g-refill-12g-set-single,hince Second Skin Mesh Matte Cushion (Main Product 12g+Refill 12g) (SET/SINGLE),,hince,Health & Beauty > Personal Care > Cosmetics > Makeup > Face Makeup,Powder & Pact,,TRUE,Color,[SET][AWARDS] #15 (+Refill+Mini Concealer),,,,,,,,,0,shopify,100,deny,manual,38.25,45,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/2ead030c-24f1-4d2c-b893-940c6a175229_3102cc68-d255-4c17-90ed-38830135cfa7.jpg?v=1743768387,1,,FALSE,,,,,,,,,,,,,,,"The secret to its soft and flexible fine particles lies in the advanced ultra-fine X-FINE Powder Technology, ensuring lightweight, clump-free adhesion to the skin.",,,"<img style=""display: block; margin-left: auto; margin-right: auto"" src=""https://cdn.shopify.com/s/files/1/0668/2555/2008/files/f21d9c5d-6d2a-42d2-8469-de5599b5d77c.jpg?v=1742649842"" alt="""">
<img style=""display: block; margin-left: auto; margin-right: auto"" src=""https://cdn.shopify.com/s/files/1/0668/2555/2008/files/2c9d7860-5c93-4e33-8d4c-53ddb4ac71d9.jpg?v=1742651768"" alt="""">",,"<div class=""modal-body type-inner-scroll""><div class=""modal-contents""><!----> <div class=""modal-cont-box type02""><div class=""prd-description""><table class=""table prd-desc-tbl""><colgroup><col class=""col01""> <col class=""col02""></colgroup> <tbody id=""descTbody""><tr><th scope=""row"">Content volume or weight</th> <td>Original Product: 12g / Refill: 12g*2ea </td></tr><tr><th scope=""row"">Ideal for</th> <td>For all skin types</td></tr><tr><th scope=""row"">Expiration date (or expiration date after opening)</th> <td>1. 24 months before opening 2. 12 months after opening</td></tr><tr><th scope=""row"">How to Use</th> <td>Pick up the formula with a puff and spread it over the skin. <br>Pat around for even-looking finish. </td></tr><tr><th scope=""row"">Cosmetics manufacturers, cosmetics responsible distributors, and customized cosmetics sellers</th> <td>Manufacturer: COSMAX Co., Ltd. Distributor: VIVAWAVE Co., Ltd. </td></tr><tr><th scope=""row"">Country of Manufacture</th> <td>South Korea</td></tr><tr><th scope=""row"">Ingredients</th> <td>1. 15 Rosy<br>Water, Titanium Dioxide (CI 77891), Dimethicone, C12-15 Alkyl Benzoate, Propanediol, Isododecane, Propylene Glycol Dibenzoate, Lauryl PEG-9 Polydimethylsiloxyethyl Dimethicone, Cyclopentasiloxane, Glycerin, Niacinamide, Silica, 1,2-Hexanediol, Polyglyceryl-3 Polydimethylsiloxyethyl Dimethicone, Acrylates/Polytrimethylsiloxymethacrylate Copolymer, Dextrin Palmitate, Trimethylsiloxysilicate, Caprylyl Methicone, Sapphire Powder, Cetyl PEG/PPG-10/1 Dimethicone, Disteardimonium Hectorite, Magnesium Sulfate, Octyldodecanol, Acrylates/Stearyl Acrylate/Dimethicone Methacrylate Copolymer, Polymethylsilsesquioxane, Synthetic Fluorphlogopite, Stearic Acid, Triethoxycaprylylsilane, Alumina, Aluminum Hydroxide, Polyglyceryl-4 Isostearate, Polyhydroxystearic Acid, Adenosine, Trisodium Ethylenediamine Disuccinate, Isopropyl Titanium Triisostearate, Neopentyl Glycol Diethylhexanoate, Tocopherol, Pentaerythrityl Tetra-di-t-butyl Hydroxyhydrocinnamate, Iron Oxide Yellow (CI 77492), Iron Oxide Red (CI 77491), Iron Oxide Black (CI 77499)<br><br>2. 17 Porcelain<br>Water, Titanium Dioxide (CI 77891), Dimethicone, C12-15 Alkyl Benzoate, Propanediol, Isododecane, Propylene Glycol Dibenzoate, Lauryl PEG-9 Polydimethylsiloxyethyl Dimethicone, Cyclopentasiloxane, Glycerin, Niacinamide, Silica, 1,2-Hexanediol, Polyglyceryl-3 Polydimethylsiloxyethyl Dimethicone, Acrylates/Polytrimethylsiloxymethacrylate Copolymer, Dextrin Palmitate, Trimethylsiloxysilicate, Caprylyl Methicone, Sapphire Powder, Cetyl PEG/PPG-10/1 Dimethicone, Disteardimonium Hectorite, Magnesium Sulfate, Octyldodecanol, Acrylates/Stearyl Acrylate/Dimethicone Methacrylate Copolymer, Polymethylsilsesquioxane, Synthetic Fluorphlogopite, Stearic Acid, Triethoxycaprylylsilane, Alumina, Aluminum Hydroxide, Polyglyceryl-4 Isostearate, Polyhydroxystearic Acid, Adenosine, Trisodium Ethylenediamine Disuccinate, Isopropyl Titanium Triisostearate, Neopentyl Glycol Diethylhexanoate, Tocopherol, Pentaerythrityl Tetra-di-t-butyl Hydroxyhydrocinnamate, Iron Oxide Yellow (CI 77492), Iron Oxide Red (CI 77491), Iron Oxide Black (CI 77499)<br><br>3. 21 Ivory<br>Water, Titanium Dioxide (CI 77891), Dimethicone, C12-15 Alkyl Benzoate, Propanediol, Isododecane, Propylene Glycol Dibenzoate, Lauryl PEG-9 Polydimethylsiloxyethyl Dimethicone, Cyclopentasiloxane, Glycerin, Niacinamide, Silica, 1,2-Hexanediol, Polyglyceryl-3 Polydimethylsiloxyethyl Dimethicone, Iron Oxide Yellow (CI 77492), Acrylates/Polytrimethylsiloxymethacrylate Copolymer, Dextrin Palmitate, Trimethylsiloxysilicate, Caprylyl Methicone, Sapphire Powder, Cetyl PEG/PPG-10/1 Dimethicone, Disteardimonium Hectorite, Octyldodecanol, Magnesium Sulfate, Acrylates/Stearyl Acrylate/Dimethicone Methacrylate Copolymer, Polymethylsilsesquioxane, Synthetic Fluorphlogopite, Stearic Acid, Triethoxycaprylylsilane, Alumina, Aluminum Hydroxide, Polyglyceryl-4 Isostearate, Polyhydroxystearic Acid, Isopropyl Titanium Triisostearate, Adenosine, Trisodium Ethylenediamine Disuccinate, Neopentyl Glycol Diethylhexanoate, Tocopherol, Pentaerythrityl Tetra-di-t-butyl Hydroxyhydrocinnamate, Iron Oxide Red (CI 77491), Iron Oxide Black (CI 77499)<br><br>4. 23 Sand<br>Water, Titanium Dioxide (CI 77891), Dimethicone, C12-15 Alkyl Benzoate, Propanediol, Isododecane, Propylene Glycol Dibenzoate, Lauryl PEG-9 Polydimethylsiloxyethyl Dimethicone, Cyclopentasiloxane, Glycerin, Niacinamide, Iron Oxide Yellow (CI 77492), Silica, 1,2-Hexanediol, Polyglyceryl-3 Polydimethylsiloxyethyl Dimethicone, Acrylates/Polytrimethylsiloxymethacrylate Copolymer, Dextrin Palmitate, Trimethylsiloxysilicate, Octyldodecanol, Caprylyl Methicone, Sapphire Powder, Cetyl PEG/PPG-10/1 Dimethicone, Disteardimonium Hectorite, Magnesium Sulfate, Acrylates/Stearyl Acrylate/Dimethicone Methacrylate Copolymer, Polymethylsilsesquioxane, Synthetic Fluorphlogopite, Stearic Acid, Triethoxycaprylylsilane, Alumina, Aluminum Hydroxide, Polyglyceryl-4 Isostearate, Polyhydroxystearic Acid, Isopropyl Titanium Triisostearate, Adenosine, Trisodium Ethylenediamine Disuccinate, Neopentyl Glycol Diethylhexanoate, Tocopherol, Pentaerythrityl Tetra-di-t-butyl Hydroxyhydrocinnamate, Iron Oxide Red (CI 77491), Iron Oxide Black (CI 77499)</td></tr><tr><th scope=""row"">MFDS Evaluation of Functional Cosmetics</th> <td>Completion of functional cosmetics review (or report) according to the Cosmetics Act</td></tr><tr><th scope=""row"">Precautions when using</th> <td>1) Consult a specialist if you have abnormal symptoms or side effects such as a skin rash, swelling, or itchiness during use or from exposure to direct sunlight after use.<br>2) Do not use on wounds or other affected areas. <br>3) Cautions for Storage and Handling <br>a) Keep out of reach of children. <br>b) Keep away from direct sunlight.</td></tr><tr><th scope=""row"">Quality Assurance Standard</th> <td>Compensation for defective products is provided according to the criteria for the settlement of consumer disputes notified publicly by the Fair Trade Commission.<br></td></tr><tr><th scope=""row"">Customer Service</th> <td>+82-1644-7161</td></tr></tbody></table></div></div></div></div>","Through the mesh filter, the refined particles delicately cover pores and uneven textures, creating a smooth and flawless blurred skin finish.A comfort matte texture suitable for all skin types and seasons, with a mild formula safe for sensitive skin.The triple-layered blending puff with excellent cushioning is designed exclusively for Blue Cushion, delivering the perfect harmony with matte textures for a flawless skin finish.",,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/d7719416-74b5-4716-b494-91f35e5de81b_98f6fd87-ce58-4ba4-ad53-eb3ad9281d82.jpg?v=1742941649,lb,,,TRUE,,,active
hince-second-skin-mesh-matte-cushion-main-product-12g-refill-12g-set-single,,,,,,,,,[SET][AWARDS] #17 (+Refill+Mini Concealer),,,,,,,,,0,shopify,100,deny,manual,38.25,45,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/bf4804d0-5433-4761-ac37-eb8533c6cccc_c472699a-5772-478a-9678-c9bd524634ff.jpg?v=1742941649,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/f622f867-849d-4b74-b845-5cd586347ac4_37e8ef06-c029-48a4-9398-13585012314f.jpg?v=1742941649,lb,,,,,,
hince-second-skin-mesh-matte-cushion-main-product-12g-refill-12g-set-single,,,,,,,,,[SET][AWARDS] #23 (+Refill+Mini Concealer),,,,,,,,,0,shopify,100,deny,manual,38.25,45,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/56297b61-6a05-40d9-8699-1bb5f2880057_9919a3e0-9c49-4318-8566-59dbe4665eeb.jpg?v=1743768369,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/e7924af7-7cae-41e7-b6b7-1a707c074a12_329d145b-397b-4a98-8305-70a43a548a12.jpg?v=1742941649,lb,,,,,,
hince-second-skin-mesh-matte-cushion-main-product-12g-refill-12g-set-single,,,,,,,,,15 Rosy Set (+Refill / Mini Cushion),,,,,,,,,0,shopify,100,deny,manual,38.25,45,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/5af7057d-105a-4d83-949b-36543c393c35_635f3a08-e378-40dc-b741-608bcb076b9a.jpg?v=1743768636,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,
hince-second-skin-mesh-matte-cushion-main-product-12g-refill-12g-set-single,,,,,,,,,17 Porcelain Set (+Refill / Mini Cushion),,,,,,,,,0,shopify,100,deny,manual,38.25,45,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/534db709-229b-4833-9174-e72763df69ae_405b753d-5d0b-45db-ba52-221907548ff4.jpg?v=1743768348,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,
hince-second-skin-mesh-matte-cushion-main-product-12g-refill-12g-set-single,,,,,,,,,21 Ivory Set (+Refill / Mini Cushion),,,,,,,,,0,shopify,100,deny,manual,38.25,45,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/d7719416-74b5-4716-b494-91f35e5de81b_98f6fd87-ce58-4ba4-ad53-eb3ad9281d82.jpg?v=1742941649,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,
hince-second-skin-mesh-matte-cushion-main-product-12g-refill-12g-set-single,,,,,,,,,[SET][AWARDS] #21 (+Refill+Mini Concealer),,,,,,,,,0,shopify,100,deny,manual,38.25,45,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/f622f867-849d-4b74-b845-5cd586347ac4_37e8ef06-c029-48a4-9398-13585012314f.jpg?v=1742941649,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/157aad61-5146-45b7-84bd-02ad6154f5f9_cdbb7c8a-7b1d-4e23-a657-46ab5aea6d11.jpg?v=1742941649,lb,,,,,,
hince-second-skin-mesh-matte-cushion-main-product-12g-refill-12g-set-single,,,,,,,,,23 Sand Set (+Refill / Mini Cushion),,,,,,,,,0,shopify,100,deny,manual,38.25,45,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/e7924af7-7cae-41e7-b6b7-1a707c074a12_329d145b-397b-4a98-8305-70a43a548a12.jpg?v=1742941649,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,
hince-second-skin-mesh-matte-cushion-main-product-12g-refill-12g-set-single,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/157aad61-5146-45b7-84bd-02ad6154f5f9_cdbb7c8a-7b1d-4e23-a657-46ab5aea6d11.jpg?v=1742941649,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hince-raw-glow-gel-tint-4ml-r002-ro-rose-set-pink-water-gloss,Hince Raw Glow Gel Tint 4ml R002 Ro Rose set (+Pink Water Gloss),,hince,Health & Beauty > Personal Care > Cosmetics > Makeup > Lip Makeup,Lip Gloss & Lip Tint,,TRUE,Color,[SET] R002 Ro Rose (+Pink Water Gloss),,,,,,,,,0,shopify,100,deny,manual,18.4,23,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/345bd82d-c1d5-46bc-bd4d-ec464eb7d4d9_69a9414c-75ab-4f43-a9e3-da17df36314d.jpg?v=1743768909,1,,FALSE,,,,,,,,,,,,,,,,,,"<img style=""display: block; margin-left: auto; margin-right: auto"" src=""https://cdn.shopify.com/s/files/1/0668/2555/2008/files/beb798fa-224a-4b7e-be93-7d54289a687e.jpg?v=1742644864"" alt="""">
<img style=""display: block; margin-left: auto; margin-right: auto"" src=""https://cdn.shopify.com/s/files/1/0668/2555/2008/files/53affe05-ee5c-4615-8d96-150dc85c003e.jpg?v=1742645124"" alt="""">",,"<div class=""modal-body type-inner-scroll""><div class=""modal-contents""><!----> <div class=""modal-cont-box type02""><div class=""prd-description""><table class=""table prd-desc-tbl""><colgroup><col class=""col01""> <col class=""col02""></colgroup> <tbody id=""descTbody""><tr><th scope=""row"">Content volume or weight</th> <td>4ml</td></tr><tr><th scope=""row"">Ideal for</th> <td>for all skin types</td></tr><tr><th scope=""row"">Expiration date (or expiration date after opening)</th> <td>24 months before opening / 12 months after opening</td></tr><tr><th scope=""row"">How to Use</th> <td>Apply a generous layer onto the lips. After 10 seconds, watch as a plump, transparent gel-like glow forms, revealing a soft, delicate stain underneath.</td></tr><tr><th scope=""row"">Cosmetics manufacturers, cosmetics responsible distributors, and customized cosmetics sellers</th> <td>Manufacturer: Codi Co., Ltd. Distributor: Vivawave Co., Ltd.</td></tr><tr><th scope=""row"">Country of Manufacture</th> <td>South Korea</td></tr><tr><th scope=""row"">Ingredients</th> <td>Bare Edition Hince Raw Glow Gel Tint 4ml R001<br>Ingredients:<br>Water, Diphenyldimethicone, Bis-diglyceryl polyacyladipate-2, Diisostearyl malate, Octyldodecanol, Trimethylsiloxyphenyl dimethicone, Hydrogenated polyisobutene, Diglycerin, Polysorbate 60, Butylene glycol, Cetyl PEG/PPG-10/1 dimethicone, 1,2-Hexanediol, Pentylene glycol, Hydroxyethyl acrylate/sodium acryloyldimethyl taurate copolymer, Ceteareth-20, Squalane, Phenoxyethanol, Titanium dioxide, Fragrance, Ethylhexylglycerin, Yellow 5, Red 227, Sorbitan isostearate, Aluminum hydroxide, Ammonium polyacrylate, Tocopheryl acetate, Yellow 4, Sodium hyaluronate, Blue 1, Hydrolyzed hyaluronic acid, Arginine/lysine polypeptide, Tocopherol, Sodium acetylated hyaluronate, Sorbic acid.<br><br>Ro Rose Edition Hince Raw Glow Gel Tint 4ml R002<br>Ingredients:<br>Water, Diphenyldimethicone, Octyldodecanol, Bis-diglyceryl polyacyladipate-2, Diisostearyl malate, Trimethylsiloxyphenyl dimethicone, Hydrogenated polyisobutene, Diglycerin, Polysorbate 60, Butylene glycol, Cetyl PEG/PPG-10/1 dimethicone, 1,2-Hexanediol, Pentylene glycol, Hydroxyethyl acrylate/sodium acryloyldimethyl taurate copolymer, Ceteareth-20, Squalane, Phenoxyethanol, Titanium dioxide, Fragrance, Ethylhexylglycerin, Yellow 5, Red 227, Sorbitan isostearate, Tocopheryl acetate, Aluminum hydroxide, Ammonium polyacrylate, Sodium hyaluronate, Blue 1, Hydrolyzed hyaluronic acid, Arginine/lysine polypeptide, Tocopherol, Sodium acetylated hyaluronate, Sorbic acid.<br><br>Ro Apricot Edition Hince Raw Glow Gel Tint 4ml R003<br>Ingredients:<br>Water, Diphenyldimethicone, Octyldodecanol, Bis-diglyceryl polyacyladipate-2, Diisostearyl malate, Trimethylsiloxyphenyl dimethicone, Hydrogenated polyisobutene, Diglycerin, Polysorbate 60, Butylene glycol, Cetyl PEG/PPG-10/1 dimethicone, 1,2-Hexanediol, Pentylene glycol, Hydroxyethyl acrylate/sodium acryloyldimethyl taurate copolymer, Ceteareth-20, Squalane, Phenoxyethanol, Fragrance, Ethylhexylglycerin, Titanium dioxide, Yellow 5, Sorbitan isostearate, Red 227, Tocopheryl acetate, Sodium hyaluronate, Aluminum hydroxide, Ammonium polyacrylate, Hydrolyzed hyaluronic acid, Blue 1, Arginine/lysine polypeptide, Tocopherol, Sodium acetylated hyaluronate, Sorbic acid.</td></tr><tr><th scope=""row"">MFDS Evaluation of Functional Cosmetics</th> <td>N</td></tr><tr><th scope=""row"">Precautions when using</th> <td>If any irritation or adverse reaction occurs, such as redness, swelling, or itching due to direct sunlight exposure, discontinue use and consult a specialist.<br>Avoid using on wounds or damaged skin.<br>Storage &amp; Handling:<br>Keep out of reach of children.<br>Store away from direct sunlight.</td></tr><tr><th scope=""row"">Quality Assurance Standard</th> <td>In case of any product defects, compensation will be provided according to the consumer dispute resolution standards set by the Fair Trade Commission.</td></tr><tr><th scope=""row"">Customer Service</th> <td>1644-7161</td></tr></tbody></table></div></div></div></div>",,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/a6d2da6d-202a-48b2-bcb3-2271efc4e983_c2133642-912e-4c48-a1c5-854a9b1ed4b5.jpg?v=1742941636,lb,,,TRUE,,,active
