Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Featured Ingredients (product.metafields.custom.featured_ingredients),How to Use (product.metafields.custom.how_to_use),Specific Item Info (product.metafields.custom.specific_item_info),Why We Love It (product.metafields.custom.why_we_love_it),Product rating count (product.metafields.reviews.rating_count),Active ingredient (product.metafields.shopify.active-ingredient),Color (product.metafields.shopify.color-pattern),Constitutive ingredients (product.metafields.shopify.constitutive-ingredients),Dispenser type (product.metafields.shopify.dispenser-type),Fragrance level (product.metafields.shopify.fragrance-level),Moisturizer type (product.metafields.shopify.moisturizer-type),Package type (product.metafields.shopify.package-type),Product certifications & standards (product.metafields.shopify.product-certifications-standards),Product form (product.metafields.shopify.product-form),Skin care effect (product.metafields.shopify.skin-care-effect),Skin care features (product.metafields.shopify.skin-care-features),Skin care mask type (product.metafields.shopify.skin-care-mask-type),Suitable for skin type (product.metafields.shopify.suitable-for-skin-type),Target gender (product.metafields.shopify.target-gender),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
3ce-fitting-mesh-cushion,3CE Fitting Mesh Cushion,"",3CE,Health & Beauty > Personal Care > Cosmetics > Makeup > Face Makeup,Powder & Pact,"",true,Color,W05 (+Refill),,,,,,,,,0.0,shopify,100,deny,manual,28.70,41.00,true,true,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/80748728-ccd9-4da2-8a18-8d67d01ae276_bf959d4e-bc5a-4c6a-a7ac-9236ed95fba3.jpg?v=1742858854,1,"",false,,,,,,,,,,,,,,Contains 73% skincare ingredient for easy skin care.,"<img style=""display: block; margin-left: auto; margin-right: auto"" src=""https://cdn.shopify.com/s/files/1/0668/2555/2008/files/82d43508-698f-4670-85bb-954aa26e1c55.jpg?v=1741206122"" alt="""">","<div class=""modal-body type-inner-scroll""><div class=""modal-contents""><!----> <div class=""modal-cont-box type02""><div class=""prd-description""><table class=""table prd-desc-tbl""><colgroup><col class=""col01""> <col class=""col02""></colgroup> <tbody id=""descTbody""><tr><th scope=""row"">Content volume or weight</th> <td>Original Product 11g, Refill 11g</td></tr><tr><th scope=""row"">Ideal for</th> <td>Looking smooth and flawless all day long with the fitting essence! For even tone, smooth texture and radiance and more #3CEFittingMeshCushion</td></tr><tr><th scope=""row"">Expiration date (or expiration date after opening)</th> <td>36 months from the date of manufacture, 12 months after opening</td></tr><tr><th scope=""row"">How to Use</th> <td>Take an appropriate amount in the puff, smooth along the texture of the skin and lightly pat over the face to finish.<br></td></tr><tr><th scope=""row"">Cosmetics manufacturers, cosmetics responsible distributors, and customized cosmetics sellers</th> <td>Kolmar Korea Co., Ltd / Stylenanda Co., Ltd</td></tr><tr><th scope=""row"">Country of Manufacture</th> <td>South Korea</td></tr><tr><th scope=""row"">Ingredients</th> <td>Water,Titanium Dioxide,Methyl Trimethicone,Butylene Glycol,Silica,C12-15 Alkyl Benzoate,Dimethicone,Caprylic/Capric Triglyceride,Caprylyl Methicone,Glycerin,Cetyl PEG/PPG-10/1 Dimethicone,Dimethicone/Vinyl Dimethicone Crosspolymer,Magnesium Sulfate,Pentylene Glycol,PEG-10 Dimethicone,Synthetic Fluorphlogopite, Isododecane,Polyhydroxystearic Acid,Caprylyl Glycol,Alumina,Stearic Acid,Triethoxycaprylylsilane,Aluminum Hydroxide,Disteardimonium Hectorite,Propylene Carbonate,Pentaerythrityl Tetra-di-t-butyl Hydroxyhydrocinnamate,Fragrance,Phenoxyethanol,Iron Oxide Yellow,Iron Oxide Red,Iron Oxide Black,Linalool,Geraniol</td></tr><tr><th scope=""row"">MFDS Evaluation of Functional Cosmetics</th> <td>N</td></tr><tr><th scope=""row"">Precautions when using</th> <td>1) Consult a specialist if you have abnormal symptoms or side effects such as a skin rash, swelling, or itchiness during use or from exposure to direct sunlight after use.<br>2) Do not use on wounds or other affected areas.<br>3) Cautions for Storage and Handling<br>a) Keep out of reach of children.<br>b) Keep away from direct sunlight.</td></tr><tr><th scope=""row"">Quality Assurance Standard</th> <td>Compensation for defective products is provided according to the criteria for the settlement of consumer disputes notified publicly by the Fair Trade Commission.</td></tr><tr><th scope=""row"">Customer Service</th> <td>+82-502-707-8888</td></tr></tbody></table></div></div></div></div>",Made with SPF 40 PA+++ formula.The fitting essence in the cushion provides 24-hour lasting smooth coverage for perfect skin tone and glow.The fitting essence solution provides 24-hour lasting filter effect on skin.,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/2593b3fd-21fe-45cc-9dd7-f155578e7480_747a73bc-1e77-4508-92fd-de5f04990c8d.jpg?v=1742858854,lb,,,true,,,true,,,active
3ce-fitting-mesh-cushion,,,,,,,,,[SET] Pink Glitter Edition P01 (+Refill),,,,,,,,,0.0,shopify,100,deny,manual,36.40,41.00,true,true,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/1be54413-61be-4705-8852-205e1e21309f_f8715d57-cde0-4ca5-a78d-b3c3245e8fd1.jpg?v=1742858854,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
3ce-fitting-mesh-cushion,,,,,,,,,[SET] Pink Glitter Edition N01 (+Refill),,,,,,,,,0.0,shopify,100,deny,manual,36.40,41.00,true,true,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/a70207b1-a800-4c8f-82a8-678224134074_19a51c66-5d86-4806-af9c-aa646f1de5a2.jpg?v=1742858854,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
3ce-fitting-mesh-cushion,,,,,,,,,[SET] Pink Glitter Edition N02 (+Refill),,,,,,,,,0.0,shopify,100,deny,manual,36.40,41.00,true,true,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/a25c49ea-49c8-48a7-87f0-d879033a0fce_e8db6c55-a107-4526-8d53-3de0310cc293.jpg?v=1742858854,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
3ce-fitting-mesh-cushion,,,,,,,,,P01 (+Refill),,,,,,,,,0.0,shopify,100,deny,manual,28.70,41.00,true,true,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/0fc281fe-a1c5-45b8-a1a7-0d13693d4bf4_f5366f04-431b-4051-a33c-35e691258a87.jpg?v=1742858854,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/fa8ce6c6-38f7-44d8-81b4-8ea5288b1698_6f73904b-4125-4de2-ad87-3ecb07cd91e7.jpg?v=1742858854,lb,,,,,,,,,
3ce-fitting-mesh-cushion,,,,,,,,,N01 (+Refill),,,,,,,,,0.0,shopify,100,deny,manual,28.70,41.00,true,true,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/d490daee-6ed6-40c2-952b-c7637b5d2633_6c9f234c-730e-4bcb-9484-0ad77b48499b.jpg?v=1742858854,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/65e97827-61d7-4995-9134-b274440efc29_3357b33c-bd4d-4616-b2c9-e117f5d4e954.jpg?v=1742858854,lb,,,,,,,,,
3ce-fitting-mesh-cushion,,,,,,,,,N02 (+Refill),,,,,,,,,0.0,shopify,100,deny,manual,28.70,41.00,true,true,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/2593b3fd-21fe-45cc-9dd7-f155578e7480_747a73bc-1e77-4508-92fd-de5f04990c8d.jpg?v=1742858854,7,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/13eca5dc-b538-42ce-ba98-46bbdd765dfc_ad944714-0f55-4b0e-9846-b700c3ba9fed.jpg?v=1742858854,lb,,,,,,,,,
3ce-fitting-mesh-cushion,,,,,,,,,W04 (+Refill),,,,,,,,,0.0,shopify,100,deny,manual,28.70,41.00,true,true,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/fa8ce6c6-38f7-44d8-81b4-8ea5288b1698_6f73904b-4125-4de2-ad87-3ecb07cd91e7.jpg?v=1742858854,8,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/0122d5c8-a8c2-4be5-a397-69b26ada043e_901c1049-7915-4506-891a-b75da2be5ec9.jpg?v=1742858854,lb,,,,,,,,,
3ce-fitting-mesh-cushion,,,,,,,,,N03 (+Refill),,,,,,,,,0.0,shopify,100,deny,manual,28.70,41.00,true,true,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/65e97827-61d7-4995-9134-b274440efc29_3357b33c-bd4d-4616-b2c9-e117f5d4e954.jpg?v=1742858854,9,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/9442f4c4-fea6-4b02-9aa5-0d87a856324d_d0973bfe-f79e-4e40-b267-f4df1d75ce63.jpg?v=1742858854,lb,,,,,,,,,
3ce-fitting-mesh-cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/13eca5dc-b538-42ce-ba98-46bbdd765dfc_ad944714-0f55-4b0e-9846-b700c3ba9fed.jpg?v=1742858854,10,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
