Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Featured Ingredients (product.metafields.custom.featured_ingredients),How to Use (product.metafields.custom.how_to_use),Specific Item Info (product.metafields.custom.specific_item_info),Why We Love It (product.metafields.custom.why_we_love_it),Product rating count (product.metafields.reviews.rating_count),Active ingredient (product.metafields.shopify.active-ingredient),Color (product.metafields.shopify.color-pattern),Constitutive ingredients (product.metafields.shopify.constitutive-ingredients),Dispenser type (product.metafields.shopify.dispenser-type),Fragrance level (product.metafields.shopify.fragrance-level),Moisturizer type (product.metafields.shopify.moisturizer-type),Package type (product.metafields.shopify.package-type),Product certifications & standards (product.metafields.shopify.product-certifications-standards),Product form (product.metafields.shopify.product-form),Skin care effect (product.metafields.shopify.skin-care-effect),Skin care features (product.metafields.shopify.skin-care-features),Skin care mask type (product.metafields.shopify.skin-care-mask-type),Suitable for skin type (product.metafields.shopify.suitable-for-skin-type),Target gender (product.metafields.shopify.target-gender),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
9wishes-rice-72-toner-150ml,9wishes rice 72 Toner 150ml,"",9wishes,Health & Beauty > Personal Care > Cosmetics > Skin Care > Face Moisturizers,Toner,"",true,Title,Default Title,,,,,,,,,0.0,shopify,100,deny,manual,11.90,17.00,true,true,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/bbb706d0-2de3-4dc2-a145-6a2cfe31af48_28b870d2-9676-4622-9435-7d7ff4433692.jpg?v=1742241202,1,"",false,,,,,,,,,,,,,,"Contains 72.33% Oryza Sativa (Rice) Bran Water, a fermentation complex, and niacinamide, providing moisture and nutrition for bright skin with its brightening functional ingredients.","<img style=""display: block; margin-left: auto; margin-right: auto"" src=""https://cdn.shopify.com/s/files/1/0668/2555/2008/files/609c631d-8f53-4dff-bb6b-f6a5067c5f4a.jpg?v=1741595740"" alt="""">","<div class=""modal-body type-inner-scroll""><div class=""modal-contents""><!----> <div class=""modal-cont-box type02""><div class=""prd-description""><table class=""table prd-desc-tbl""><colgroup><col class=""col01""> <col class=""col02""></colgroup> <tbody id=""descTbody""><tr><th scope=""row"">Content volume or weight</th> <td>150ml</td></tr><tr><th scope=""row"">Ideal for</th> <td>For all skin types</td></tr><tr><th scope=""row"">Expiration date (or expiration date after opening)</th> <td>Within 36 months after manufacture, 12 months after opening</td></tr><tr><th scope=""row"">How to Use</th> <td>Soak a cotton pad with an appropriate amount of the product and gently apply it along the skin texture to your entire face and neck, allowing it to be absorbed.<br></td></tr><tr><th scope=""row"">Cosmetics manufacturers, cosmetics responsible distributors, and customized cosmetics sellers</th> <td>Cotheon Co., Ltd. / 9wishes Co., Ltd.</td></tr><tr><th scope=""row"">Country of Manufacture</th> <td>South Korea</td></tr><tr><th scope=""row"">Ingredients</th> <td>Oryza Sativa (Rice) Bran Water,Butylene Glycol,Water,Niacinamide,Propylene Glycol Dicaprylate,1,2-Hexanediol,Polyglyceryl-4 Caprate,Caprylyl Glycol,Saccharomyces/Rice Bran Ferment,Oryza Sativa (Rice) Bran Extract,Lactobacillus/Soybean Ferment Extract,White Willow Bark Extract,Origanum Vulgare Leaf Extract,Portulaca Oleracea Extract,Chamaecyparis Obtusa Leaf Extract,Scutellaria Baicalensis Root Extract,Cinnamomum Cassia Bark Extract,Allantoin,Carbomer,Arginine,Styrene/VP Copolymer,Sorbitan Sesquioleate,Ethylhexylglycerin,Dipotassium Glycyrrhizate,Pentylene Glycol,Aspalathus Linearis Extract,Glycyrrhiza Glabra (Licorice) Extract,Commiphora Myrrha Resin Extract,Perilla Frutescens Leaf Extract,Yucca Schidigera Root Extract</td></tr><tr><th scope=""row"">MFDS Evaluation of Functional Cosmetics</th> <td>Completion of functional cosmetics review (or report) according to the Cosmetics Act</td></tr><tr><th scope=""row"">Precautions when using</th> <td>1. Consult a specialist if you have abnormal symptoms or side effects such as a skin rash, swelling, or itchiness during use or from exposure to direct sunlight after use.<br>2. Do not use on wounds or other affected areas.<br>3. Storage and handling instructions<br>a) Keep out of reach of children.<br>b) Keep away from direct sunlight.</td></tr><tr><th scope=""row"">Quality Assurance Standard</th> <td>Defective products are subject to exchange or compensation in accordance with the Consumer Dispute Settlement Standards announced by the Fair Trade Commision. <br></td></tr><tr><th scope=""row"">Customer Service</th> <td>+82-1522-2393</td></tr></tbody></table></div></div></div></div>","Cares for tone and texture with a brightening toner from the first step of skincare.Rich in rice nutrients, it moisturizes and finishes with a refreshing toner texture.Moisturizes the skin base for a clear and glossy complexion with continued use.",,,,,,,,,,,,,,,,,,,,,lb,,,true,,,true,,,active
9wishes-rice-72-toner-150ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/6cba3c1f-c64c-4764-a9b5-28319eb34c34_744cb790-c294-4df8-bfd0-6c1104be11bb.jpg?v=1742241202,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9wishes-rice-72-toner-150ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/c5937020-5164-4d70-9f1e-1caf19d25f15_fcc7a55c-6067-4f96-ba21-90cd9e8361c5.jpg?v=1742241202,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9wishes-rice-72-toner-150ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/80d3f1dc-6c34-4d3a-bdb6-d667ee90a872_45fcfafa-30dc-4ef6-be04-234d521da213.jpg?v=1742241202,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lage-size-9wishes-vegan-hydra-ampule-toner-500ml,[Lage Size] 9wishes Vegan Hydra Ampule Toner 500mL,"",9wishes,Health & Beauty > Personal Care > Cosmetics > Skin Care > Face Moisturizers,Toner,"",true,Title,Default Title,,,,,,,,,0.0,shopify,100,deny,manual,35.00,,true,true,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/b6770331-8128-4fc2-9934-996eec87a4a1_0bdaa6e5-cdf3-45e5-82d1-1c6b2c6a99f6.jpg?v=1742241195,1,"",false,,,,,,,,,,,,,,"Containing one of the 4 miracle waters, the German Nordenau water, it provides a moisturizing and healthy care for the skin.Contains 3,000 Da low-molecular, 11 kinds of Hyaluronic Acid for effective absorption and retention of moisture.","<img style=""display: block; margin-left: auto; margin-right: auto"" src=""https://cdn.shopify.com/s/files/1/0668/2555/2008/files/82d43508-698f-4670-85bb-954aa26e1c55.jpg?v=1741206122"" alt="""">","<div class=""modal-body type-inner-scroll""><div class=""modal-contents""><!----> <div class=""modal-cont-box type02""><div class=""prd-description""><table class=""table prd-desc-tbl""><colgroup><col class=""col01""> <col class=""col02""></colgroup> <tbody id=""descTbody""><tr><th scope=""row"">Content volume or weight</th> <td>500ml</td></tr><tr><th scope=""row"">Ideal for</th> <td>For all skin types</td></tr><tr><th scope=""row"">Expiration date (or expiration date after opening)</th> <td>3 years after manufacture</td></tr><tr><th scope=""row"">How to Use</th> <td>After washing your face, soak a cotton pad with the formula and then wipe out your entire face and pat it into the skin. <br></td></tr><tr><th scope=""row"">Cosmetics manufacturers, cosmetics responsible distributors, and customized cosmetics sellers</th> <td>Hankook Cosmetics Co., Ltd. / 9wishes Co., Ltd.</td></tr><tr><th scope=""row"">Country of Manufacture</th> <td>South Korea</td></tr><tr><th scope=""row"">Ingredients</th> <td>Water, Mineral Water, Glycerin, 1,2-Hexanediol, Butylene Glycol, Isopentyldiol, Betaine, Methylpropanediol, Panthenol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Ethylhexylglycerin, Tromethamine, Disodium EDTA, Pullulan, Fructooligosaccharides, Sodium Hyaluronate, Beta-Glucan, Maltodextrin, Angelica Archangelica Root Extract, Viola Tricolor Extract, Pistacia Lentiscus (Mastic) Gum, Hydrolyzed Sodium Hyaluronate, Sodium Hyaluronate Crosspolymer, Potassium Hyaluronate, Hydroxypropyltrimonium Hyaluronate, Hydrolyzed Hyaluronic Acid, Hyaluronic Acid, Glyceryl Glucoside, Pentylene Glycol, Tremella Fuciformis Polysaccharide, Sodium Acetylated Hyaluronate<br></td></tr><tr><th scope=""row"">MFDS Evaluation of Functional Cosmetics</th> <td>N</td></tr><tr><th scope=""row"">Precautions when using</th> <td>1) Consult a specialist if you have abnormal symptoms or side effects such as a skin rash, swelling, or itchiness during use or from exposure to direct sunlight after use.<br><br>2) Do not use on wounds or other affected areas.<br><br>3) Storage and handling instructions<br><br>a) Keep out of reach of children.<br><br>b) Keep away from direct sunlight.<br><br></td></tr><tr><th scope=""row"">Quality Assurance Standard</th> <td>If any defects are found, an exchange or compensation is provided according to the criteria for the settlement of consumer disputes notified publicly by the Fair Trade Commission.<br></td></tr><tr><th scope=""row"">Customer Service</th> <td>+82-1522-2393</td></tr></tbody></table></div></div></div></div>","The difference is ultimately shown from the overwhelming 100-hour moisturizing retention through its moisturizing maintenance.This is an upgraded large-capacity product.In vivo test results include increase in the moisturizing effect by 403.55%, and after 100 hours of use by 172.40% after single use. Even after 100 hours, the moisturizing effect was maintained.",,,,,,,,,,,,,,,,,,,,,lb,,,true,,,true,,,active
lage-size-9wishes-vegan-hydra-ampule-toner-500ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/14685585-22d5-48d0-b50b-ea087ab3b9d1_6883236d-d365-4778-9d5e-a746d5703194.jpg?v=1742241195,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lage-size-9wishes-vegan-hydra-ampule-toner-500ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/4768ec06-bc29-4c95-a8c7-9eeba33b5f89_d61ea526-c41a-4729-a09d-3a13977cb623.jpg?v=1742241195,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9wishes-sun-moisturizer-spf50-pa-50ml,9wishes Sun Moisturizer SPF50+/PA+++ 50ml,"",9wishes,Health & Beauty > Personal Care > Cosmetics > Skin Care > Sunscreen,Sunscreen,"",true,Title,Default Title,,,,,,,,,0.0,shopify,100,deny,manual,29.00,,true,true,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/f899459c-c35f-4cf2-993a-4b134b3e1f43_a3871f70-538d-4b94-8be5-3864b09752f1.jpg?v=1742241190,1,"",false,,,,,,,,,,,,,,"Shea Butter: Consists of softening and healing properties with a lot of vitamins and fatty acidsButylene Glycol: With conditioning agents that boost soft texture of the skinOlive Oil: Prevents oxidation, which causes free radicals, leaving skin free from potential cell damage","<img style=""display: block; margin-left: auto; margin-right: auto"" src=""https://cdn.shopify.com/s/files/1/0668/2555/2008/files/eb837922-a654-4eba-93fc-d5a8c28eb89f.jpg?v=1741592217"" alt="""">","<div class=""modal-body type-inner-scroll""><div class=""modal-contents""><!----> <div class=""modal-cont-box type02""><div class=""prd-description""><table class=""table prd-desc-tbl""><colgroup><col class=""col01""> <col class=""col02""></colgroup> <tbody id=""descTbody""><tr><th scope=""row"">Content volume or weight</th> <td>50ml</td></tr><tr><th scope=""row"">Ideal for</th> <td>For all skin types</td></tr><tr><th scope=""row"">Expiration date (or expiration date after opening)</th> <td>3 years after manufacture / 12 months after opening</td></tr><tr><th scope=""row"">How to Use</th> <td>Evenly apply a small amount on areas exposed to sun.</td></tr><tr><th scope=""row"">Cosmetics manufacturers, cosmetics responsible distributors, and customized cosmetics sellers</th> <td>Cotheon Co., Ltd. / Grace International Inc.</td></tr><tr><th scope=""row"">Country of Manufacture</th> <td>South Korea</td></tr><tr><th scope=""row"">Ingredients</th> <td>Purified Water, Ethylhexyl Methoxycinnamate, Zinc Oxide, Homosalate, Ethylhexyl Salicylate, Butylene Glycol, Glycerin, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Octocrylene, Niacinamide, Polysorbate 60, Silica, Cetearyl Alcohol, Cetearyl Olivate, Sorbitan Olivate, Beeswax, Dimethicone, Magnesium Aluminum Silicate, Sorbitan Sesquioleate, Sodium Hyaluronate, Jojoba Seed Oil, Olive Oil, Shea Butter, 1,2-Hexanediol, Caprylyl Glycol, Pinus Densiflora Leaf Extract, Morus Alba Bark Extract, Camellia Sinensis Leaf Extract, Chrysanthemum Indicum Flower Extract, Rhus Semialata Gall Extract, Scutellaria Baicalensis Root Extract, Lonicera Japonica (Honeysuckle) Flower Extract, Salicornia Herbacea Extract, Allantoin, Xanthan Gum, Ethylhexylglycerin, Adenosine, Dipotassium Glycyrrhizate, Aloe Vera Leaf Extract, Pentylene Glycol, Aspalathus Linearis Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Commiphora Myrrha Resin Extract, Perilla Frutescens Leaf Extract, Yucca Schidigera Root Extract, Fragrance, Limonene, Butylphenyl Methylpropional</td></tr><tr><th scope=""row"">MFDS Evaluation of Functional Cosmetics</th> <td>Completion of functional cosmetics review (or report) according to the Cosmetics Act</td></tr><tr><th scope=""row"">Precautions when using</th> <td>1) If you experience any symptoms such as redness, swelling, or itchiness during usage or from exposure to direct sunlight after usage, suspend use and consult a physician.<br>2) Do not use on wounds or other areas of skin irritation.<br>3) Storage and handling<br>a) Keep out of reach of children.<br>b) Keep away from direct sunlight.</td></tr><tr><th scope=""row"">Quality Assurance Standard</th> <td>Compensation for defective products is provided according to Fair Trade Commission standards.</td></tr><tr><th scope=""row"">Customer Service</th> <td>+82-1522-2393</td></tr></tbody></table></div></div></div></div>","A 50mL sunscreen with a non-greasy feel for outdoor activitiesSPF50+, PA+++",,,,,,,,,,,,,,,,,,,,,lb,,,true,,,true,,,active
9wishes-sun-moisturizer-spf50-pa-50ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/b836d106-c46a-4b36-811e-554e5bcc398f_6f8f5220-fc2a-4ea0-8802-7da3f6c49b29.jpg?v=1742241190,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9wishes-sun-moisturizer-spf50-pa-50ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/fcc53f49-cfe5-4afa-8bc7-ebbba650a80d_a3ce7e31-4a6e-4f06-b514-a52e39dbbde4.jpg?v=1742241190,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
