Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Featured Ingredients (product.metafields.custom.featured_ingredients),How to Use (product.metafields.custom.how_to_use),Specific Item Info (product.metafields.custom.specific_item_info),Why We Love It (product.metafields.custom.why_we_love_it),Product rating count (product.metafields.reviews.rating_count),Active ingredient (product.metafields.shopify.active-ingredient),Color (product.metafields.shopify.color-pattern),Constitutive ingredients (product.metafields.shopify.constitutive-ingredients),Dispenser type (product.metafields.shopify.dispenser-type),Fragrance level (product.metafields.shopify.fragrance-level),Moisturizer type (product.metafields.shopify.moisturizer-type),Package type (product.metafields.shopify.package-type),Product certifications & standards (product.metafields.shopify.product-certifications-standards),Product form (product.metafields.shopify.product-form),Skin care effect (product.metafields.shopify.skin-care-effect),Skin care features (product.metafields.shopify.skin-care-features),Skin care mask type (product.metafields.shopify.skin-care-mask-type),Suitable for skin type (product.metafields.shopify.suitable-for-skin-type),Target gender (product.metafields.shopify.target-gender),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
abib-jericho-rose-pha-toner-skin-booster-200ml-30ml,Abib Jericho Rose PHA Toner Skin Booster 200mL (+30ml),"",Abib,Health & Beauty > Personal Care > Cosmetics > Skin Care > Face Moisturizers,Toner,"",true,Title,Default Title,,,,,,,,,0.0,shopify,100,deny,manual,31.00,,true,true,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/d13107f2-fe58-4274-8670-b38844931eb5_b09036d6-bf2c-4354-a732-51d1cccc8269.jpg?v=1742241517,1,"",false,,,,,,,,,,,,,,"Contains 5% PHA to help improve keratin and transform into moist and smooth skin.Contains TrehaLose, a resilient ingredient from resurrection plants, to deliver moisture deep into the skin.Contains bifida ferment filtrate from Jericho rose to strengthen skin condition for healthy and firm skin. Combines Bakuchiol, Eco-ceramide, and vegan peptides to help care for firm skin.Contains 7 types of Centella Complex with ingredients such as Ectoin, Panthenol, and Mugwort-derived ingredients to soothe and care for the skin barrier.Delivers strong moisture deep into the skin with the synergy of Hyaluronic Acid and TrehaLose from resurrection plants.","<img style=""display: block; margin-left: auto; margin-right: auto"" src=""https://cdn.shopify.com/s/files/1/0668/2555/2008/files/8b77f1d5-4abd-43e4-b4e9-e66e71f47297.jpg?v=1741680733"" alt="""">","<div class=""modal-body type-inner-scroll""><div class=""modal-contents""><!----> <div class=""modal-cont-box type02""><div class=""prd-description""><table class=""table prd-desc-tbl""><colgroup><col class=""col01""> <col class=""col02""></colgroup> <tbody id=""descTbody""><tr><th scope=""row"">Content volume or weight</th> <td>200ml (+30ml)</td></tr><tr><th scope=""row"">Ideal for</th> <td>For all skin types</td></tr><tr><th scope=""row"">Expiration date (or expiration date after opening)</th> <td>Within 36 months after manufacture, 12 months after opening</td></tr><tr><th scope=""row"">How to Use</th> <td>After cleansing, apply a small amount to the palm of the hand and massage gently into the skin.<br></td></tr><tr><th scope=""row"">Cosmetics manufacturers, cosmetics responsible distributors, and customized cosmetics sellers</th> <td>COSMAX Co., Ltd. / fourcompany co. ltd</td></tr><tr><th scope=""row"">Country of Manufacture</th> <td>South Korea</td></tr><tr><th scope=""row"">Ingredients</th> <td>Water, Propanediol, Butylene Glycol, Gluconolactone, Glycerin, Niacinamide, 2,3-Butanediol, Tromethamine, 1,2-Hexanediol, Anastatica Hierochuntica Extract, Dipropylene Glycol, Sphingomonas Ferment Extract, Lactobacillus Ferment, Theobroma Cacao (Cocoa) Extract, Sodium Hyaluronate, Centella Asiatica Extract, Centella Asiatica Leaf Extract, Centella Asiatica Root Extract, Moringa Oleifera Seed Oil, Bifida Ferment Filtrate, Glycereth-26, Polyacrylate Crosspolymer-6, C12-14 Alketh-12, Hydroxyacetophenone, Hydrolyzed Sclerotium Gum, Ethylhexylglycerin, Adenosine, Cetyl Ethylhexanoate, Polyquaternium-51, Squalane, Hydrogenated Lecithin, Caprylic/Capric Triglyceride, Dextrin, Tocopherol, Panthenol, Bakuchiol, Ectoin, Trehalose, Ceramide NP, Phytosphingosine, Octyldodecanol, Polyglyceryl-10 Laurate, Phosphatidylcholine, Asiaticoside, Asiatic Acid, Madecassic Acid, Glycolipids, Sorbitol, Madecassoside, Copper Tripeptide-1, Acetyl Hexapeptide-8, Disodium EDTA</td></tr><tr><th scope=""row"">MFDS Evaluation of Functional Cosmetics</th> <td>Completion of functional cosmetics review (or report) according to the Cosmetics Act</td></tr><tr><th scope=""row"">Precautions when using</th> <td>Water, Propanediol, Butylene Glycol, Gluconolactone, Glycerin, Niacinamide, 2,3-Butanediol, Tromethamine, 1,2-Hexanediol, Anastatica Hierochuntica Extract, Dipropylene Glycol, Sphingomonas Ferment Extract, Lactobacillus Ferment, Theobroma Cacao (Cocoa) Extract, Sodium Hyaluronate, Centella Asiatica Extract, Centella Asiatica Leaf Extract, Centella Asiatica Root Extract, Moringa Oleifera Seed Oil, Bifida Ferment Filtrate, Glycereth-26, Polyacrylate Crosspolymer-6, C12-14 Alketh-12, Hydroxyacetophenone, Hydrolyzed Sclerotium Gum, Ethylhexylglycerin, Adenosine, Cetyl Ethylhexanoate, Polyquaternium-51, Squalane, Hydrogenated Lecithin, Caprylic/Capric Triglyceride, Dextrin, Tocopherol, Panthenol, Bakuchiol, Ectoin, Trehalose, Ceramide NP, Phytosphingosine, Octyldodecanol, Polyglyceryl-10 Laurate, Phosphatidylcholine, Asiaticoside, Asiatic Acid, Madecassic Acid, Glycolipids, Sorbitol, Madecassoside, Copper Tripeptide-1, Acetyl Hexapeptide-8, Disodium EDTA</td></tr><tr><th scope=""row"">Quality Assurance Standard</th> <td>In accordance with relevant laws and the criteria for the settlement of consumer disputes<br></td></tr><tr><th scope=""row"">Customer Service</th> <td>In accordance with relevant laws and the criteria for the settlement of consumer disputes</td></tr></tbody></table></div></div></div></div>","Provides firm hydration to care for skin texture.With just one application, it improves skin texture and provides smooth skin elasticity.Skin improvement is evident through tests on dead skin cells and skin texture improvement.",,,,,,,,,,,,,,,,,,,,,lb,,,true,,,true,,,active
abib-jericho-rose-pha-toner-skin-booster-200ml-30ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/8ddd69ad-b2c3-4f14-8780-ee2626121ff0_463c0d95-8c10-4e4c-912d-be45a8bddbc4.jpg?v=1742241517,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abib-jericho-rose-pha-toner-skin-booster-200ml-30ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/4fe0146a-3c94-4df5-ad4d-d8e6eca79525_da448ead-44ba-4d4b-8876-f34f93d22eec.jpg?v=1742241517,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abib-jericho-rose-pha-toner-skin-booster-200ml,Abib Jericho Rose PHA Toner Skin Booster 200mL,"",Abib,Health & Beauty > Personal Care > Cosmetics > Skin Care > Face Moisturizers,Toner,"",true,Title,Default Title,,,,,,,,,0.0,shopify,100,deny,manual,31.00,,true,true,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/7d0ffd25-6543-4f0a-8a35-25b4b8b842c5_52dfecc2-67d8-4838-a33b-3285b9ad10cb.jpg?v=1742241511,1,"",false,,,,,,,,,,,,,,"Contains 5% PHA to help improve keratin and transform into moist and smooth skin.Contains TrehaLose, a resilient ingredient from resurrection plants, to deliver moisture deep into the skin.Contains bifida ferment filtrate from Jericho rose to strengthen skin condition for healthy and firm skin. Combines Bakuchiol, Eco-ceramide, and vegan peptides to help care for firm skin.Contains 7 types of Centella Complex with ingredients such as Ectoin, Panthenol, and Mugwort-derived ingredients to soothe and care for the skin barrier.Delivers strong moisture deep into the skin with the synergy of Hyaluronic Acid and TrehaLose from resurrection plants.","<img style=""display: block; margin-left: auto; margin-right: auto"" src=""https://cdn.shopify.com/s/files/1/0668/2555/2008/files/1c507ac1-40cf-466a-b6f1-b1040665d52b.jpg?v=1741680438"" alt="""">","<div class=""modal-body type-inner-scroll""><div class=""modal-contents""><!----> <div class=""modal-cont-box type02""><div class=""prd-description""><table class=""table prd-desc-tbl""><colgroup><col class=""col01""> <col class=""col02""></colgroup> <tbody id=""descTbody""><tr><th scope=""row"">Content volume or weight</th> <td>200ml</td></tr><tr><th scope=""row"">Ideal for</th> <td>For all skin types</td></tr><tr><th scope=""row"">Expiration date (or expiration date after opening)</th> <td>Within 36 months after manufacture, 12 months after opening</td></tr><tr><th scope=""row"">How to Use</th> <td>After cleansing, apply a small amount to the palm of the hand and massage gently into the skin.<br></td></tr><tr><th scope=""row"">Cosmetics manufacturers, cosmetics responsible distributors, and customized cosmetics sellers</th> <td>COSMAX Co., Ltd. /ABIB Co., Ltd.</td></tr><tr><th scope=""row"">Country of Manufacture</th> <td>South Korea</td></tr><tr><th scope=""row"">Ingredients</th> <td>Water, Propanediol, Butylene Glycol, Gluconolactone, Glycerin, Niacinamide, 2,3-Butanediol, Tromethamine, 1,2-Hexanediol, Anastatica Hierochuntica Extract, Dipropylene Glycol, Sphingomonas Ferment Extract, Lactobacillus Ferment, Theobroma Cacao (Cocoa) Extract, Sodium Hyaluronate, Centella Asiatica Extract, Centella Asiatica Leaf Extract, Centella Asiatica Root Extract, Moringa Oleifera Seed Oil, Bifida Ferment Filtrate, Glycereth-26, Polyacrylate Crosspolymer-6, C12-14 Alketh-12, Hydroxyacetophenone, Hydrolyzed Sclerotium Gum, Ethylhexylglycerin, Adenosine, Cetyl Ethylhexanoate, Polyquaternium-51, Squalane, Hydrogenated Lecithin, Caprylic/Capric Triglyceride, Dextrin, Tocopherol, Panthenol, Bakuchiol, Ectoin, Trehalose, Ceramide NP, Phytosphingosine, Octyldodecanol, Polyglyceryl-10 Laurate, Phosphatidylcholine, Asiaticoside, Asiatic Acid, Madecassic Acid, Glycolipids, Sorbitol, Madecassoside, Copper Tripeptide-1, Acetyl Hexapeptide-8, Disodium EDTA</td></tr><tr><th scope=""row"">MFDS Evaluation of Functional Cosmetics</th> <td>Completion of functional cosmetics review (or report) according to the Cosmetics Act</td></tr><tr><th scope=""row"">Precautions when using</th> <td>1) Consult a specialist if you have abnormal symptoms or side effects such as a skin rash, swelling, or itchiness during use or from exposure to direct sunlight after use.<br>2) Do not use on wounds or other affected areas.<br>3) Storage and handling instructions<br>a) Keep out of reach of children.<br>b) Keep away from direct sunlight.</td></tr><tr><th scope=""row"">Quality Assurance Standard</th> <td>In accordance with relevant laws and the criteria for the settlement of consumer disputes<br></td></tr><tr><th scope=""row"">Customer Service</th> <td>+82-70-4131-5906</td></tr></tbody></table></div></div></div></div>","Provides firm hydration to care for skin texture.With just one application, it improves skin texture and provides smooth skin elasticity.Skin improvement is evident through tests on dead skin cells and skin texture improvement.",,,,,,,,,,,,,,,,,,,,,lb,,,true,,,true,,,active
abib-jericho-rose-pha-toner-skin-booster-200ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/7ddd2515-d17c-411e-ab3e-8362f1bf2505_c10c3040-8023-4849-80b9-e473d8d3331e.jpg?v=1742241511,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abib-heartleaf-calming-toner-skin-booster-double-set,Abib Heartleaf Calming Toner Skin Booster Double Set,"",Abib,Health & Beauty > Personal Care > Cosmetics > Skin Care > Face Moisturizers,Toner,"",true,Title,Default Title,,,,,,,,,0.0,shopify,100,deny,manual,52.00,,true,true,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/fed21c3f-9bff-4b82-98d7-f46df1c7ab33_55ecf983-7ce3-4209-9b85-73f2a5213a90.jpg?v=1742241507,1,"",false,,,,,,,,,,,,,,"Houttuynia Cordata Extract: Helps soothe skin, control sebum, and refine poresCentella Asiatica Extract: Can calm skin inflammation, speed up wound healing, and improve circulationGlycine Soja (Soybean) Sprout Extract: Helps prevent wrinkles and fine lines","<img style=""display: block; margin-left: auto; margin-right: auto"" src=""https://cdn.shopify.com/s/files/1/0668/2555/2008/files/25aa7cd2-c35d-4462-9f76-eaf792f80ba0.jpg?v=1741680259"" alt="""">","<div class=""modal-body type-inner-scroll""><div class=""modal-contents""><!----> <div class=""modal-cont-box type02""><div class=""prd-description""><table class=""table prd-desc-tbl""><colgroup><col class=""col01""> <col class=""col02""></colgroup> <tbody id=""descTbody""><tr><th scope=""row"">Content volume or weight</th> <td>200ml+200ml</td></tr><tr><th scope=""row"">Ideal for</th> <td>For all skin types</td></tr><tr><th scope=""row"">Expiration date (or expiration date after opening)</th> <td>24 months after manufacture, 12 months after opening</td></tr><tr><th scope=""row"">How to Use</th> <td>Gently apply a small amount on skin and lightly pat to absorb.</td></tr><tr><th scope=""row"">Cosmetics manufacturers, cosmetics responsible distributors, and customized cosmetics sellers</th> <td>Cosmax Co., Ltd. / 4 Company Co., Ltd.</td></tr><tr><th scope=""row"">Country of Manufacture</th> <td>South Korea</td></tr><tr><th scope=""row"">Ingredients</th> <td>Purified Water, Houttuynia Cordata Extract, Glycerin, Butylene Glycol, Pentylene Glycol, Xylitol, Bifida Ferment Lysate, Sodium Hyaluronate, Glycine Soja (Soybean) Seed Extract, Centella Asiatica Extract, Hydrolyzed Hyaluronic Acid, Scutellaria Baicalensis Root Extract, Gaultheria Procumbens (Wintergreen) Leaf Extract, Lonicera Japonica (Honeysuckle) Flower Extract, Betaine, 1,2-Hexanediol, Panthenol, Ethylhexylglycerin, Octanediol, Tocopherol, Biosaccharide Gum-4, Disodium EDTA, Xanthan Gum<br><br></td></tr><tr><th scope=""row"">MFDS Evaluation of Functional Cosmetics</th> <td>N</td></tr><tr><th scope=""row"">Precautions when using</th> <td>1) If you experience any symptoms such as redness, swelling, or itchiness during usage or from exposure to direct sunlight after usage, suspend use and consult a physician.<br>2) Do not use on wounds or other areas of skin irritation.<br>3) Storage and handling<br>a) Keep out of reach of children.<br>b) Keep away from direct sunlight.</td></tr><tr><th scope=""row"">Quality Assurance Standard</th> <td>In compliance with applicable laws and regulations on consumer dispute resolution</td></tr><tr><th scope=""row"">Customer Service</th> <td>+82-70-4131-5906</td></tr></tbody></table></div></div></div></div>",Deeply hydrates tired and irritated skinHelps take care of excess oil and dead skin cellsLowers the skin temperature to soothe skin,,,,,,,,,,,,,,,,,,,,,lb,,,true,,,true,,,active
abib-heartleaf-calming-toner-skin-booster-double-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/647f98b8-5454-4e6f-9fc3-f5cce4b146c1_d8128d05-eb05-451e-9365-11fff16a4dc5.jpg?v=1742241507,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abib-heartleaf-calming-toner-skin-booster-210ml,Abib Heartleaf Calming Toner Skin Booster 210ml,"",Abib,Health & Beauty > Personal Care > Cosmetics > Skin Care > Face Moisturizers,Toner,"",true,Title,Default Title,,,,,,,,,0.0,shopify,100,deny,manual,21.70,31.00,true,true,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/66d87d1dba204ac7f0a6b8a25f4d62cc_ed1bfd9c-1856-4aae-bebc-682c4fc939c5.jpg?v=1742241503,1,"",false,,,,,,,,,,,,,,"Houttuynia Cordata Extract: Helps soothe skin, control sebum, and refine poresCentella Asiatica Extract: Can calm skin inflammation, speed up wound healing, and improve circulationGlycine Soja (Soybean) Sprout Extract: Helps prevent wrinkles and fine lines","<img style=""display: block; margin-left: auto; margin-right: auto"" src=""https://cdn.shopify.com/s/files/1/0668/2555/2008/files/f86a4075-606d-4f8f-b747-90ec253acc37.jpg?v=1741680036"" alt="""">","<div class=""modal-body type-inner-scroll""><div class=""modal-contents""><!----> <div class=""modal-cont-box type02""><div class=""prd-description""><table class=""table prd-desc-tbl""><colgroup><col class=""col01""> <col class=""col02""></colgroup> <tbody id=""descTbody""><tr><th scope=""row"">Content volume or weight</th> <td>210ml</td></tr><tr><th scope=""row"">Ideal for</th> <td>For all skin types</td></tr><tr><th scope=""row"">Expiration date (or expiration date after opening)</th> <td>24 months after manufacture, 12 months after opening</td></tr><tr><th scope=""row"">How to Use</th> <td>Gently apply a small amount on skin and lightly pat to absorb.</td></tr><tr><th scope=""row"">Cosmetics manufacturers, cosmetics responsible distributors, and customized cosmetics sellers</th> <td>Cosmax Co., Ltd. / 4 Company Co., Ltd.</td></tr><tr><th scope=""row"">Country of Manufacture</th> <td>South Korea</td></tr><tr><th scope=""row"">Ingredients</th> <td>Purified Water, Houttuynia Cordata Extract, Glycerin, Butylene Glycol, Pentylene Glycol, Xylitol, Bifida Ferment Lysate, Sodium Hyaluronate, Glycine Soja (Soybean) Seed Extract, Centella Asiatica Extract, Hydrolyzed Hyaluronic Acid, Scutellaria Baicalensis Root Extract, Gaultheria Procumbens (Wintergreen) Leaf Extract, Lonicera Japonica (Honeysuckle) Flower Extract, Betaine, 1,2-Hexanediol, Panthenol, Ethylhexylglycerin, Octanediol, Tocopherol, Biosaccharide Gum-4, Disodium EDTA, Xanthan Gum<br><br></td></tr><tr><th scope=""row"">MFDS Evaluation of Functional Cosmetics</th> <td>N</td></tr><tr><th scope=""row"">Precautions when using</th> <td>1) If you experience any symptoms such as redness, swelling, or itchiness during usage or from exposure to direct sunlight after usage, suspend use and consult a physician.<br>2) Do not use on wounds or other areas of skin irritation.<br>3) Storage and handling<br>a) Keep out of reach of children.<br>b) Keep away from direct sunlight.</td></tr><tr><th scope=""row"">Quality Assurance Standard</th> <td>In compliance with applicable laws and regulations on consumer dispute resolution</td></tr><tr><th scope=""row"">Customer Service</th> <td>+82-70-4131-5906</td></tr></tbody></table></div></div></div></div>",Deeply hydrates tired and irritated skinHelps take care of excess oil and dead skin cellsLowers the skin temperature to soothe skin,,,,,,,,,,,,,,,,,,,,,lb,,,true,,,true,,,active
abib-sebum-hyaluronic-sunscreen-protection-tube-50ml,Abib Sebum Hyaluronic Sunscreen Protection Tube 50mL,"",Abib,Health & Beauty > Personal Care > Cosmetics > Skin Care > Sunscreen,Sunscreen,"",true,Title,Default Title,,,,,,,,,0.0,shopify,100,deny,manual,33.00,,true,true,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/fd706ea4-00ce-4c9a-aa9b-2b05f4d5b58f_d807f207-32d4-491d-bccd-860b79315352.jpg?v=1742241500,1,"",false,,,,,,,,,,,,,,"Contains moisture-filled Sedum Sarmentosum Extract to improve moisture retention.Grown in clean Jeju, Sedum Sarmentosum is a plant with excellent moisture content, which is enough to overcome dryness and grow on rocks.Contains various sizes of 10 types of hyaluronic acid, provides a rich sense of moisture that rises densely from deep within the skin.Contains allantoin to soothe and comfort sensitive skin.","<img style=""display: block; margin-left: auto; margin-right: auto"" src=""https://cdn.shopify.com/s/files/1/0668/2555/2008/files/03d58bb4-ebae-484c-9bd6-e51ceb40c6f3.jpg?v=1741679894"" alt="""">","<div class=""modal-body type-inner-scroll""><div class=""modal-contents""><!----> <div class=""modal-cont-box type02""><div class=""prd-description""><table class=""table prd-desc-tbl""><colgroup><col class=""col01""> <col class=""col02""></colgroup> <tbody id=""descTbody""><tr><th scope=""row"">Content volume or weight</th> <td>50mL</td></tr><tr><th scope=""row"">Ideal for</th> <td>For all skin types</td></tr><tr><th scope=""row"">Expiration date (or expiration date after opening)</th> <td>36 months after manufacture / 12 months after opening</td></tr><tr><th scope=""row"">How to Use</th> <td>1. Apply an appropriate amount to the skin before exposing to UV rays <br>2. In the final step of your skin care routine, apply an appropriate amount to the skin and reapply it every 2-3 hour when exposed to UV rays for a long time. <br>3. Wash it off before going to bed. </td></tr><tr><th scope=""row"">Cosmetics manufacturers, cosmetics responsible distributors, and customized cosmetics sellers</th> <td>Kolmar Korea Co., Ltd. /ABIB Co., Ltd.</td></tr><tr><th scope=""row"">Country of Manufacture</th> <td>South Korea</td></tr><tr><th scope=""row"">Ingredients</th> <td>Water, Propanediol, Butyloctyl Salicylate, Dibutyl Adipate, Ethylhexyl Triazone, Terephthalylidene Dicamphor Sulfonic Acid, Octyldodecanol, Tromethamine, Polyglyceryl-3 Distearate, Cetearyl Alcohol, Panthenol, 1,2-Hexanediol, Pentylene Glycol, Diethylamino Hydroxybenzoyl Hexyl Benzoate, Caprylyl Methicone, Polysilicone-15, Sedum Sarmentosum Extract, Cardiospermum Halicacabum Flower/Leaf/Vine Extract, Echium Plantagineum Seed Oil, Sodium Hyaluronate, Polymethylsilsesquioxane, Glyceryl Stearate, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Potassium Cetyl Phosphate, Methylpropanediol, Poly C10-30 Alkyl Acrylate, Carbomer, Glyceryl Stearate Citrate, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Ethylhexylglycerin, Ammonium Acryloyldimethyltaurate/VP Copolymer, Polyether-1, Helianthus Annuus (Sunflower) Seed Oil Unsaponifiables, Butylene Glycol, Tocopherol, Biosaccharide Gum-1, Allantoin, Glyceryl Glucoside, Dimethylsilanol Hyaluronate, Hydrolyzed Sodium Hyaluronate, Hydrolyzed Hyaluronic Acid, Potassium Hyaluronate, Hyaluronic Acid, Sodium Hyaluronate Crosspolymer, Hydroxypropyltrimonium Hyaluronate, Glycerin, Sodium Hyaluronate Dimethylsilanol, Sodium Acetylated Hyaluronate<br></td></tr><tr><th scope=""row"">MFDS Evaluation of Functional Cosmetics</th> <td>Completion of functional cosmetics review (or report) according to the Cosmetics Act</td></tr><tr><th scope=""row"">Precautions when using</th> <td>1. Consult a specialist if you have abnormal symptoms or side effects such as a skin rash, swelling, or itchiness during use or from exposure to direct sunlight after use.<br>2. Do not use on wounds or other affected areas.<br>3. Storage and handling instructions<br> a) Keep out of reach of children.<br> b) Keep away from direct sunlight.</td></tr><tr><th scope=""row"">Quality Assurance Standard</th> <td>In accordance with relevant laws and the criteria for the settlement of consumer disputes<br></td></tr><tr><th scope=""row"">Customer Service</th> <td>+82-70-4131-5906</td></tr></tbody></table></div></div></div></div>","This light-fitting moisture sunscreen provides a moist moisture protection film.The sun protection factor is SPF50+ PA++++.A moisturizing cream texture that is quickly absorbed, providing a comfortable finish without feeling stuffy.",,,,,,,,,,,,,,,,,,,,,lb,,,true,,,true,,,active
new-abib-heartleaf-sun-essence-calming-drop-50ml,[NEW] Abib Heartleaf Sun Essence Calming Drop 50mL,"",Abib,Health & Beauty > Personal Care > Cosmetics > Skin Care > Sunscreen,Sunscreen,"",true,Title,Default Title,,,,,,,,,0.0,shopify,100,deny,manual,23.10,33.00,true,true,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/9a2a1efe-81b8-4992-b5d1-5ed603c1297d_e8cba7d5-2890-435a-9625-3ee067c318e2.jpg?v=1742241497,1,"",false,,,,,,,,,,,,,,"The essence containing Heartleaf evenly penetrates the skin, providing not only UV protection but also soothing irritated skin.","<img style=""display: block; margin-left: auto; margin-right: auto"" src=""https://cdn.shopify.com/s/files/1/0668/2555/2008/files/677f0539-05a0-4d2b-9d53-8dd50731fd31.jpg?v=1741679765"" alt="""">","<div class=""modal-body type-inner-scroll""><div class=""modal-contents""><!----> <div class=""modal-cont-box type02""><div class=""prd-description""><table class=""table prd-desc-tbl""><colgroup><col class=""col01""> <col class=""col02""></colgroup> <tbody id=""descTbody""><tr><th scope=""row"">Content volume or weight</th> <td>50mL</td></tr><tr><th scope=""row"">Ideal for</th> <td>For all skin types</td></tr><tr><th scope=""row"">Expiration date (or expiration date after opening)</th> <td>Within 36 months after manufacture, 12 months after opening</td></tr><tr><th scope=""row"">How to Use</th> <td>1. Shake 2-3 times before using it. <br>2. Apply an appropriate amount to areas prone to sun exposure. <br>3. In the final step of your skin care routine apply an appropriate amount to the skin and reapply every 2-3 hour when exposed to UV rays for a long time. <br></td></tr><tr><th scope=""row"">Cosmetics manufacturers, cosmetics responsible distributors, and customized cosmetics sellers</th> <td>Cosmetics Manufacturer: COSMAX Co., Ltd., Cosmetics Distributer: ABIB Co., Ltd.</td></tr><tr><th scope=""row"">Country of Manufacture</th> <td>South Korea</td></tr><tr><th scope=""row"">Ingredients</th> <td>Water, Dibutyl Adipate, Houttuynia Cordata Extract (50,000ppm), Ethanol, Caprylyl Methicone, Diethylamino Hydroxybenzoyl Hexyl Benzoate, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Phenethyl Benzoate, Polymethylsilsesquioxane, Polysilicone-15, Methylene Bis-Benzotriazolyl Tetramethylbutylphenol, Ethylhexyl Triazone, Hexyl Laurate, Niacinamide, Polyglyceryl-6 Stearate, Diethylhexyl Butamido Triazone, Aspergillus Ferment, Triticum Aestivum (Wheat) Seed Extract, 1,2-Hexanediol, Pentylene Glycol, C20-22 Alkyl Phosphate, Panthenol, Decyl Glucoside, Hydroxyacetophenone, Tromethamine, Ethylhexyl Olivate, Polyglyceryl-6 Behenate, Sodium Acrylates Copolymer, Polyglyceryl-4 Oleate, Dipotassium Glycyrrhizate, Adenosine, Glycerin, Sodium Phytate, Maltodextrin, Lipase, Protease, C20-22 Alcohols, Xanthan Gum<br></td></tr><tr><th scope=""row"">MFDS Evaluation of Functional Cosmetics</th> <td>Completion of functional cosmetics review (or report) according to the Cosmetics Act</td></tr><tr><th scope=""row"">Precautions when using</th> <td>1. Consult a specialist if you have abnormal symptoms or side effects such as a skin rash, swelling, or itchiness during use or from exposure to direct sunlight after use.<br>2. Do not use on wounds or other affected areas.<br>3. Storage and handling instructions<br>a) Keep out of reach of children.<br>b) Keep away from direct sunlight.<br>*Compensation for defective products is provided according to the criteria for the settlement of consumer disputes notified publicly by the Fair Trade Commission.<br></td></tr><tr><th scope=""row"">Quality Assurance Standard</th> <td>In accordance with relevant laws and the criteria for the settlement of consumer disputes<br></td></tr><tr><th scope=""row"">Customer Service</th> <td>+82-70-4131-5906</td></tr></tbody></table></div></div></div></div>",Heartleaf Sun Essence that gives the skin a protective layer with one drop.The sun protection factor is SPF50+ PA++++.Shakeable type container for the easy use.,,,,,,,,,,,,,,,,,,,,,lb,,,true,,,true,,,active
