Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Featured Ingredients (product.metafields.custom.featured_ingredients),How to Use (product.metafields.custom.how_to_use),Specific Item Info (product.metafields.custom.specific_item_info),Why We Love It (product.metafields.custom.why_we_love_it),Product rating count (product.metafields.reviews.rating_count),Active ingredient (product.metafields.shopify.active-ingredient),Color (product.metafields.shopify.color-pattern),Constitutive ingredients (product.metafields.shopify.constitutive-ingredients),Dispenser type (product.metafields.shopify.dispenser-type),Fragrance level (product.metafields.shopify.fragrance-level),Moisturizer type (product.metafields.shopify.moisturizer-type),Package type (product.metafields.shopify.package-type),Product certifications & standards (product.metafields.shopify.product-certifications-standards),Product form (product.metafields.shopify.product-form),Skin care effect (product.metafields.shopify.skin-care-effect),Skin care features (product.metafields.shopify.skin-care-features),Skin care mask type (product.metafields.shopify.skin-care-mask-type),Suitable for skin type (product.metafields.shopify.suitable-for-skin-type),Target gender (product.metafields.shopify.target-gender),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
acnes-sebum-balancing-skin-2-0-200ml,ACNES Sebum Balancing Skin 2.0 200mL,,Acnes,Health & Beauty > Personal Care > Cosmetics > Skin Care > Face Moisturizers,Toner,,TRUE,Title,Default Title,,,,,,,,,0,shopify,100,deny,manual,12,20,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/077f083f-bc06-44f5-aeaf-25ba034b7cc2_81e784c0-fa47-4299-a15e-444540461e04.jpg?v=1742241631,1,,FALSE,,,,,,,,,,,,,,"Houttuynia Cordata Extract: Helps soothe the skin, control sebum, refine pores and reduce germs.Tea Tree Extract: Helps soothe the irritated skin while reducing redness and swelling.Centella Asiatica Extract: Known to be effective in soothing the irritated skin.","<img style=""display: block; margin-left: auto; margin-right: auto"" src=""https://cdn.shopify.com/s/files/1/0668/2555/2008/files/077f083f-bc06-44f5-aeaf-25ba034b7cc2.jpg?v=1741690807"" alt="""">","<div class=""modal-body type-inner-scroll""><div class=""modal-contents""><!----> <div class=""modal-cont-box type02""><div class=""prd-description""><table class=""table prd-desc-tbl""><colgroup><col class=""col01""> <col class=""col02""></colgroup> <tbody id=""descTbody""><tr><th scope=""row"">Content volume or weight</th> <td>200ML</td></tr><tr><th scope=""row"">Ideal for</th> <td>Colorless, fragrance-free</td></tr><tr><th scope=""row"">Expiration date (or expiration date after opening)</th> <td>30 months before opening, 12 months after opening</td></tr><tr><th scope=""row"">How to Use</th> <td>Before use, shake the product to mix calamine powder and water well, then soak a cotton pad in an adequate amount of the mixture, and gently wipe the skin. After use, lightly pat it into your skin for better absorption<br></td></tr><tr><th scope=""row"">Cosmetics manufacturers, cosmetics responsible distributors, and customized cosmetics sellers</th> <td>Manufacturer: Hankook Cosmetics Co., Ltd. Distributor: Mentholatum (Asia Pacific) Limited</td></tr><tr><th scope=""row"">Country of Manufacture</th> <td>South Korea</td></tr><tr><th scope=""row"">Ingredients</th> <td>Sebum Balancing Skin 2.0 (Main) Water*, Methylpropanediol, 1,2-Hexanediol*, Butylene Glycol*, Glycereth-26, Silica, Panthenol, Calamine, Disodium EDTA*, Citric Acid, Sodium Hyaluronate, Lecithin, Glycerin*, Propanediol, Sodium Hyaluronate Crosspolymer, Squalane*, Macadamia Integrifolia Seed Oil*, Melaleuca Alternifolia (Tea Tree) Leaf Extract, Pentylene Glycol, Centella Asiatica Extract, Aluminum Sucrose Octasulfate*, Brassica Campestris (Rapeseed) Sterols*, Cholesterol*, Polyglyceryl-10 Oleate*, Phytosteryl/Behenyl/Octyldodecyl Lauroyl Glutamate*, Hydrolyzed Glycosaminoglycans, Sodium Surfactin*, Cellulose*, Houttuynia Cordata Extract, Benzyl Glycol, Hydrogenated Lecithin*, Hydrolyzed Hyaluronic Acid, Sodium Hydroxide, Tocopherol, Ethylhexylglycerin, Zinc Oxide*, Hyaluronic Acid, Raspberry Ketone<br></td></tr><tr><th scope=""row"">MFDS Evaluation of Functional Cosmetics</th> <td>N</td></tr><tr><th scope=""row"">Precautions when using</th> <td>1. Consult a specialist if you have abnormal symptoms or side effects such as a skin rash, swelling, or itchiness during use or from exposure to direct sunlight after use.<br>2. Do not use on wounds or other affected areas.<br>3. Storage and handling instructions<br>a) Keep out of reach of children.<br>b) Keep away from direct sunlight.<br>Storage condition (0Â°Câ€“30Â°C)<br>Due to the nature of the raw material contained in the product, dust may be found, but there is no problem in use.</td></tr><tr><th scope=""row"">Quality Assurance Standard</th> <td> Compensation for defective products is provided according to the criteria for the settlement of consumer disputes notified publicly by the Fair Trade Commission.<br></td></tr><tr><th scope=""row"">Customer Service</th> <td>+82-2-717-1821</td></tr></tbody></table></div></div></div></div>",Infused with natural soothing ingredients in phospholipid liposomes for a quick penetration of the active ingredients into the skin Toner that contains pink calamine powder to absorb excessive sebum and create a moist and matte skin.,,,,,,,,,,,,,,,,,,,,,lb,,,TRUE,,,TRUE,,,active
oy-exclusive-acnes-blemish-calming-sun-cream-50ml-1-1-special-set,[OY Exclusive] Acnes Blemish Calming Sun Cream 50mL 1+1 Special Set,,Acnes,Health & Beauty > Personal Care > Cosmetics > Skin Care > Sunscreen,Sunscreen,,TRUE,Title,Default Title,,,,,,,,,0,shopify,100,deny,manual,29,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/4ab75f56-a314-4f44-a865-9d517318a5ce_5ec374cc-335c-432b-89bc-444716602048.jpg?v=1742241628,1,,FALSE,,,,,,,,,,,,,,"Contains Melaleuca Alternifolia (Tea Tree), Centella Asiatica, and Heartleaf to help soothe sensitive acne-prone skin.The combination of the strengths of both chemical and non-chemical ingredients makes it less irritating to the skin while providing dual-protection against UVA and UVB.This sunscreen saves coral reefs by excluding UV blocking ingredients (benzophenone-3, ethylhexyl methoxycinnamate) that damage the marine ecosystem and coral reefs.","<img style=""display: block; margin-left: auto; margin-right: auto"" src=""https://cdn.shopify.com/s/files/1/0668/2555/2008/files/4ab75f56-a314-4f44-a865-9d517318a5ce.jpg?v=1741690580"" alt="""">","<div class=""modal-body type-inner-scroll""><div class=""modal-contents""><!----> <div class=""modal-cont-box type02""><div class=""prd-description""><table class=""table prd-desc-tbl""><colgroup><col class=""col01""> <col class=""col02""></colgroup> <tbody id=""descTbody""><tr><th scope=""row"">Content volume or weight</th> <td>50ml + 50ml</td></tr><tr><th scope=""row"">Ideal for</th> <td>For all skin types</td></tr><tr><th scope=""row"">Expiration date (or expiration date after opening)</th> <td>By December 2025</td></tr><tr><th scope=""row"">How to Use</th> <td>In the final step of your skin care routine, apply an appropriate amount to your skin. <br></td></tr><tr><th scope=""row"">Cosmetics manufacturers, cosmetics responsible distributors, and customized cosmetics sellers</th> <td>Cosmecca Korea Co., Ltd. / Mentholatum Asia Pacific Ltd. </td></tr><tr><th scope=""row"">Country of Manufacture</th> <td>South Korea</td></tr><tr><th scope=""row"">Ingredients</th> <td>Water, Homosalate, Ethylhexyl Salicylate, Titanium Dioxide, Butyloctyl Salicylate, Butylene Glycol, Diethylamino Hydroxybenzoyl Hexyl Benzoate, Acrylates Copolymer, Alcohol Denat., Dipropylene Glycol, Niacinamide, Silica, C20-22 Alkyl Phosphate, Arachidyl Alcohol, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Propanediol, C20-22 Alcohols, Behenyl Alcohol, Aluminum Hydroxide, Stearic Acid, Arachidyl Glucoside, Caprylyl Glycol, Potassium Cetyl Phosphate, Sorbitan Stearate, Glycerin, Glyceryl Stearate, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, PEG-100 Stearate, Ethylhexylglycerin, Tocopheryl Acetate, Squalane, 1,2-Hexanediol, Microcrystalline Cellulose, Polyacrylate Crosspolymer-6, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Zea Mays (Corn) Kernel Extract, Disodium EDTA, Adenosine, Polysorbate 60, Cellulose Gum, Aloe Barbadensis Leaf Extract, Dioscorea Japonica Root Extract, Laminaria Japonica Extract, Ulmus Davidiana Root Extract, Viola Mandshurica Flower Extract, Sorbitan Isostearate, Hyaluronic Acid, Hydrolyzed Hyaluronic Acid, Sodium Hyaluronate, Glucose, Centella Asiatica Extract, Houttuynia Cordata Extract, Fructan, Triethoxycaprylylsilane, t-Butyl Alcohol, Artemisia Vulgaris Extract, Melaleuca Alternifolia (Tea Tree) Leaf Extract, Salvia Hispanica Seed Extract, Eugenol</td></tr><tr><th scope=""row"">MFDS Evaluation of Functional Cosmetics</th> <td>Completion of functional cosmetics review (or report) according to the Cosmetics Act</td></tr><tr><th scope=""row"">Precautions when using</th> <td>1. Consult a specialist if you have abnormal symptoms or side effects such as a skin rash, swelling, or itchiness during use or from exposure to direct sunlight after use.<br>2. Do not use on wounds or other affected areas.<br>3. Storage and handling instructions<br>a) Keep out of reach of children.<br>b) Keep away from direct sunlight.</td></tr><tr><th scope=""row"">Quality Assurance Standard</th> <td>In case of defect with this product, it will be exchanged or compensated according to the Consumer Dispute Settlement Standard announced by the Fair Trade Commission.<br></td></tr><tr><th scope=""row"">Customer Service</th> <td>+82-2-717-1821</td></tr></tbody></table></div></div></div></div>","This is a 3-second calming cream that soothes sensitive acne-prone skin in a flash.The sun protection factor is SPF50+ PA++++.The product shows 100% satisfaction, showing 100% overall satisfaction for moisturizing, refreshing, soothing and enjoying the product.",,,,,,,,,,,,,,,,,,,,,lb,,,TRUE,,,TRUE,,,active
oy-exclusive-acnes-blemish-calming-sun-cream-50ml-1-1-special-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/0bb43e48-8251-404b-80e6-95c0eb4ec222_d7d98dda-dd5c-4677-ac0a-d26675500a6a.jpg?v=1742241628,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oy-exclusive-acnes-blemish-calming-sun-cream-50ml-1-1-special-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/040fc061-1665-45c4-bf1c-3eda71fe1000_892beb3f-3bc6-45e3-982a-aedf5e566d47.jpg?v=1742241628,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acnes-perfect-solution-soothing-mask-sheet-1ea,Acnes Perfect Solution Soothing Mask Sheet 1ea,,Acnes,Health & Beauty > Personal Care > Cosmetics > Skin Care > Skin Care Masks & Peels,Sheet Masks,,TRUE,Title,Default Title,,,,,,,,,0,shopify,100,deny,manual,4,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/ddc361b9-ea89-4b64-86d4-74816f68ec54_866075d4-562a-4583-8afa-5b032e6b1021.jpg?v=1742241622,1,,FALSE,,,,,,,,,,,,,,"Tea tree, Centella Asiatica, and Houttuynia Cordata Extract instantly soothes the skin.Hyaluronic acid adds moisture to the skin.Panthenol soothes the irritated skin.","<img style=""display: block; margin-left: auto; margin-right: auto"" src=""https://cdn.shopify.com/s/files/1/0668/2555/2008/files/ddc361b9-ea89-4b64-86d4-74816f68ec54.jpg?v=1741690344"" alt="""">","<div class=""modal-body type-inner-scroll""><div class=""modal-contents""><!----> <div class=""modal-cont-box type02""><div class=""prd-description""><table class=""table prd-desc-tbl""><colgroup><col class=""col01""> <col class=""col02""></colgroup> <tbody id=""descTbody""><tr><th scope=""row"">Content volume or weight</th> <td>24ml(g)</td></tr><tr><th scope=""row"">Ideal for</th> <td>For all skin types</td></tr><tr><th scope=""row"">Expiration date (or expiration date after opening)</th> <td>36 months before opening / immediately use after opening</td></tr><tr><th scope=""row"">How to Use</th> <td>1. After cleansing, prepare your skin with toner.<br><br>2. Place the mask sheet on your face, aligning the holes to your eyes, nose and mouth. <br><br>3. Remove the sheet in 10-20 minutes and gently pat the remaining essence for absorption. <br><br></td></tr><tr><th scope=""row"">Cosmetics manufacturers, cosmetics responsible distributors, and customized cosmetics sellers</th> <td>Hankook Cosmetics Manufacturing Co., Ltd. / Mentholatum Asia Pacific Co., Ltd. </td></tr><tr><th scope=""row"">Country of Manufacture</th> <td>South Korea</td></tr><tr><th scope=""row"">Ingredients</th> <td>Water, Panthenol, Glycerin, Propanediol, Butylene Glycol, 1,2-Hexanediol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Arginine, Allantoin, Melaleuca Alternifolia (Tea Tree) Leaf Extract, Centella Asiatica Extract, Houttuynia Cordata Extract, Ethylhexylglycerin, Dipotassium Glycyrrhizate, Sodium Hyaluronate, Xanthan Gum, Disodium EDTA, Madecassoside, Squalane, Macadamia Integrifolia Seed Oil, Aluminum Sucrose Octasulfate, Brassica Campestris (Rapeseed) Sterols, Cholesterol, Polyglyceryl-10 Oleate, Phytosteryl/Behenyl/Octyldodecyl Lauroyl Glutamate, Lecithin, Sodium Surfactin, Cellulose, Pentylene Glycol, Hydrogenated Lecithin, Sodium Hydroxide, Zinc Oxide, Tocopherol<br></td></tr><tr><th scope=""row"">MFDS Evaluation of Functional Cosmetics</th> <td>N</td></tr><tr><th scope=""row"">Precautions when using</th> <td>1. Consult a specialist if you have abnormal symptoms or side effects such as a skin rash, swelling, or itchiness during use or from exposure to direct sunlight after use.<br><br>2. Do not use on wounds or other affected areas.<br><br>3. Storage and handling instructions<br><br>a) Keep out of reach of children.<br><br>b) Keep away from direct sunlight.<br><br>4. Avoid the area around the eyes during use.<br><br>5. Use the sheet mask as quickly as possible after opening to prevent it from drying out. Avoid reusing the pad.<br><br></td></tr><tr><th scope=""row"">Quality Assurance Standard</th> <td>In case of defect with this product, it will be exchanged or compensated according to the Consumer Dispute Settlement Standard announced by the Fair Trade Commission.<br><br></td></tr><tr><th scope=""row"">Customer Service</th> <td>+82-2) 717-1821</td></tr></tbody></table></div></div></div></div>",This facial mask offers a super-speed soothing effect.This facial mask procides an moisturizing and soothing effect.,,,,,,,,,,,,,,,,,,,,,lb,,,TRUE,,,TRUE,,,active
acnes-perfect-solution-soothing-mask-sheet-10ea,Acnes Perfect Solution Soothing Mask Sheet 10ea,,Acnes,Health & Beauty > Personal Care > Cosmetics > Skin Care > Skin Care Masks & Peels,Sheet Masks,,TRUE,Title,Default Title,,,,,,,,,0,shopify,100,deny,manual,13.2,40,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/34de6453-bc3e-47fe-8e4f-d2079843ad0e_409a60f0-dbc4-4d51-959c-b280ca9cb920.jpg?v=1742241619,1,,FALSE,,,,,,,,,,,,,,Hyaluronic acid delivers moisture to dry skin.Panthenol soothes sensitive skin stressed from external environmental factors.,"<img style=""display: block; margin-left: auto; margin-right: auto"" src=""https://cdn.shopify.com/s/files/1/0668/2555/2008/files/34de6453-bc3e-47fe-8e4f-d2079843ad0e.jpg?v=1741690344"" alt="""">","<div class=""modal-body type-inner-scroll""><div class=""modal-contents""><!----> <div class=""modal-cont-box type02""><div class=""prd-description""><table class=""table prd-desc-tbl""><colgroup><col class=""col01""> <col class=""col02""></colgroup> <tbody id=""descTbody""><tr><th scope=""row"">Content volume or weight</th> <td>24mL(g)*10 Sheets</td></tr><tr><th scope=""row"">Ideal for</th> <td>For all skin types</td></tr><tr><th scope=""row"">Expiration date (or expiration date after opening)</th> <td>36 months before opening / immediately use after opening</td></tr><tr><th scope=""row"">How to Use</th> <td>1. After cleansing, prepare your skin with toner.<br><br>2. Place the mask sheet on your face, aligning the holes to your eyes, nose and mouth. <br><br>3. Remove the sheet in 10-20 minutes and gently pat the remaining essence for absorption. <br><br></td></tr><tr><th scope=""row"">Cosmetics manufacturers, cosmetics responsible distributors, and customized cosmetics sellers</th> <td>Hankook Cosmetics Manufacturing Co., Ltd. / Mentholatum Asia Pacific Co., Ltd. </td></tr><tr><th scope=""row"">Country of Manufacture</th> <td>South Korea</td></tr><tr><th scope=""row"">Ingredients</th> <td>Water, Panthenol, Glycerin, Propanediol, Butylene Glycol, 1,2-Hexanediol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Arginine, Allantoin, Melaleuca Alternifolia (Tea Tree) Leaf Extract, Centella Asiatica Extract, Houttuynia Cordata Extract, Ethylhexylglycerin, Dipotassium Glycyrrhizate, Sodium Hyaluronate, Xanthan Gum, Disodium EDTA, Madecassoside, Squalane, Macadamia Integrifolia Seed Oil, Aluminum Sucrose Octasulfate, Brassica Campestris (Rapeseed) Sterols, Cholesterol, Polyglyceryl-10 Oleate, Phytosteryl/Behenyl/Octyldodecyl Lauroyl Glutamate, Lecithin, Sodium Surfactin, Cellulose, Pentylene Glycol, Hydrogenated Lecithin, Sodium Hydroxide, Zinc Oxide, Tocopherol<br><br></td></tr><tr><th scope=""row"">MFDS Evaluation of Functional Cosmetics</th> <td>N</td></tr><tr><th scope=""row"">Precautions when using</th> <td>1. Consult a specialist if you have abnormal symptoms or side effects such as a skin rash, swelling, or itchiness during use or from exposure to direct sunlight after use.<br><br>2. Do not use on wounds or other affected areas.<br><br>3. Storage and handling instructions<br><br>a) Keep out of reach of children.<br><br>b) Keep away from direct sunlight.<br><br>4. Avoid the area around the eyes during use.<br><br>5. Use the sheet mask as quickly as possible after opening to prevent it from drying out. Avoid reusing the pad.<br><br></td></tr><tr><th scope=""row"">Quality Assurance Standard</th> <td>In case of defect with this product, it will be exchanged or compensated according to the Consumer Dispute Settlement Standard announced by the Fair Trade Commission.<br><br></td></tr><tr><th scope=""row"">Customer Service</th> <td>+82-2) 717-1821</td></tr></tbody></table></div></div></div></div>",Eco-friendly lyocell fibers feel soft on skin.Tea Tree Leaf Extract and Centella Asiatica Extrace provide fast soothing effects.,,,,,,,,,,,,,,,,,,,,,lb,,,TRUE,,,TRUE,,,active
acnes-perfect-solution-soothing-mask-sheet-10ea,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/ddc361b9-ea89-4b64-86d4-74816f68ec54_258e2fa4-eccc-49c9-b68c-f7431f8c805f.jpg?v=1742241619,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acnes-blemish-calming-toner-pad-70p-40p-refill-set,Acnes Blemish Calming Toner Pad 70P (40P Refill Set),,Acnes,Health & Beauty > Personal Care > Cosmetics > Skin Care > Skin Care Masks & Peels,Pads,,TRUE,Title,Default Title,,,,,,,,,0,shopify,100,deny,manual,28,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/24d6232b-4168-4e7d-9e71-0dee90b1f036_2f5f140d-eb6a-4e60-a32e-a75682a52951.jpg?v=1742241614,1,,FALSE,,,,,,,,,,,,,,"Contains tea tree, centella asiatica, and heartleaf to help with soothing sensitive acne skin types.Contains AHA for water-soluble exfoliation and BHA for excessive sebum control.AHA and PHA inside pad makes smooth skin.Contains Oenothera Biennis (Evening Primrose) Extract to help with soothing skin that is irritated by external environment.Contains Pueraria Lobata Root Extract to help with making healthy, vitalizing and lively skin.Contains Ulmus Davidiana Root Extract to help with making clear and healthy skin.Contains Pinus Palustris Leaf Extract to nourish skin for vitality.","<img style=""display: block; margin-left: auto; margin-right: auto"" src=""https://cdn.shopify.com/s/files/1/0668/2555/2008/files/24d6232b-4168-4e7d-9e71-0dee90b1f036.jpg?v=1741690194"" alt="""">","<div class=""modal-body type-inner-scroll""><div class=""modal-contents""><!----> <div class=""modal-cont-box type02""><div class=""prd-description""><table class=""table prd-desc-tbl""><colgroup><col class=""col01""> <col class=""col02""></colgroup> <tbody id=""descTbody""><tr><th scope=""row"">Content volume or weight</th> <td>70P+40P</td></tr><tr><th scope=""row"">Ideal for</th> <td>For all skin types</td></tr><tr><th scope=""row"">Expiration date (or expiration date after opening)</th> <td>36 months before opening / 12 months after opening</td></tr><tr><th scope=""row"">How to Use</th> <td>1. In the first step of your skin care routine, wipe out your entire face with the gauze size of the pad. <br>2. Wipe out the concerned areas with dead skin cells, including the sides of the nose and chin for further refinement. <br>3. Pat the remaining toner onto the skin. <br>* Make sure to keep closed after use. <br>* Place the pads on the concerned areas as a calming pack. </td></tr><tr><th scope=""row"">Cosmetics manufacturers, cosmetics responsible distributors, and customized cosmetics sellers</th> <td>Hankook Cosmetics Co., Ltd. / Mentholatum Asia Pacific Co., Ltd. </td></tr><tr><th scope=""row"">Country of Manufacture</th> <td>South Korea</td></tr><tr><th scope=""row"">Ingredients</th> <td>Water, Butylene Glycol, Methylpropanediol, 1,2-Hexanediol, Centella Asiatica Extract, Glycerin, Melaleuca Alternifolia (Tea Tree) Leaf Extract, Glycereth-26, Salicylic Acid, Panthenol, Tromethamine, Ethylhexylglycerin, Disodium EDTA, Houttuynia Cordata Extract, Citric Acid, Polyglutamic Acid, Oenothera Biennis (Evening Primrose) Flower Extract, Ulmus Davidiana Root Extract, Pinus Palustris Leaf Extract, Pueraria Lobata Root Extract, Gaultheria Procumbens (Wintergreen) Leaf Extract </td></tr><tr><th scope=""row"">MFDS Evaluation of Functional Cosmetics</th> <td>N</td></tr><tr><th scope=""row"">Precautions when using</th> <td>1. Consult a specialist if you have abnormal symptoms or side effects such as a skin rash, swelling, or itchiness during use or from exposure to direct sunlight after use.<br>2. Do not use on wounds or other affected areas.<br>3. Cautions for Storage and Handling<br>a) Keep out of reach of children.<br>b) Keep away from direct sunlight.</td></tr><tr><th scope=""row"">Quality Assurance Standard</th> <td>In case of defect with this product, it will be exchanged or compensated according to the Consumer Dispute Settlement Standard announced by the Fair Trade Commission.<br></td></tr><tr><th scope=""row"">Customer Service</th> <td>+82-2) 717-1821</td></tr></tbody></table></div></div></div></div>",A vegan product registered to the Korea Agency of Vegan Certification and Services.Completed test for acne skin types for carefree use on sensitive and acne skin types.Possible to be used on acne skin types because it does not block pores.,,,,,,,,,,,,,,,,,,,,,lb,,,TRUE,,,TRUE,,,active
acnes-clear-white-foaming-wash-1-1-special-set,Acnes Clear & White Foaming Wash 1+1 Special Set,,Acnes,Health & Beauty > Personal Care > Cosmetics > Skin Care > Facial Cleansers,Cleansing Forms,,TRUE,Title,Default Title,,,,,,,,,0,shopify,100,deny,manual,20.79,22,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/9e5f1dac-8032-464f-851c-d8b56217cd86_5520b94a-0d91-409b-8808-59ca443544f5.jpg?v=1742241611,1,,FALSE,,,,,,,,,,,,,,"The Vitamin C derivatives care for clear skin.It contains magnesium ascorbyl phosphate, a vitamin C derivative, to clear the skin and care for irritated oily and combination skin.Salicylic acid takes care of keratin, which causes skin trouble, and makes the skin clearer.Vitamin C derivatives help with clear and bright skin care.Centella asiatica extract helps soothe irritated skin.Salicylic acid (BHA) helps care for keratin and sebum that can cause skin problems, helping to care for oily and combination skin.","<img style=""display: block; margin-left: auto; margin-right: auto"" src=""https://cdn.shopify.com/s/files/1/0668/2555/2008/files/9e5f1dac-8032-464f-851c-d8b56217cd86.jpg?v=1741690058"" alt="""">","<div class=""modal-body type-inner-scroll""><div class=""modal-contents""><!----> <div class=""modal-cont-box type02""><div class=""prd-description""><table class=""table prd-desc-tbl""><colgroup><col class=""col01""> <col class=""col02""></colgroup> <tbody id=""descTbody""><tr><th scope=""row"">Content volume or weight</th> <td>150ml + 150ml</td></tr><tr><th scope=""row"">Ideal for</th> <td>For all skin types</td></tr><tr><th scope=""row"">Expiration date (or expiration date after opening)</th> <td>36 months before opening / 12 months after opening</td></tr><tr><th scope=""row"">How to Use</th> <td>Squeeze out an appropriate amount and massage around your face in gentle rolling motions. <br><br>It is a foaming cleanser that you donâ€™t have to work up a lather. <br><br></td></tr><tr><th scope=""row"">Cosmetics manufacturers, cosmetics responsible distributors, and customized cosmetics sellers</th> <td>Manufacturer: Mentholatum Pharmaceutical Company Limited / Distributor: Mentholatum Korea Co., Ltd. </td></tr><tr><th scope=""row"">Country of Manufacture</th> <td>South Korea</td></tr><tr><th scope=""row"">Ingredients</th> <td>Water, Cocamidopropyl Betaine, Lauric Acid, Ethanol, Butylene Glycol, Potassium Hydroxide, Myristic Acid, Palmitic Acid, PEG-7 Glyceryl Cocoate, Glyceryl Caprylate, Ethylhexylglycerin, Glycerine, Salicylic Acid, Fragrance, o-Cymen-5-ol, Disodium EDTA, Magnesium Ascorbyl Phosphate, Butyl Avocadate, Dipotassium Glycyrrhizate, Centella Asiatica Extract, Carrageenan, Propylene Glycol, Citric Acid, Limonene, Linalool<br></td></tr><tr><th scope=""row"">MFDS Evaluation of Functional Cosmetics</th> <td>N</td></tr><tr><th scope=""row"">Precautions when using</th> <td>1. Consult a specialist if you have abnormal symptoms or side effects such as a skin rash, swelling, or itchiness during use or from exposure to direct sunlight after use.<br><br>2. Do not use on wounds or other affected areas.<br><br>3. Do not use on children under the age of 3.<br><br>4. Storage and handling instructions<br><br>a) Keep out of reach of children.<br><br>b) Keep away from direct sunlight.<br><br></td></tr><tr><th scope=""row"">Quality Assurance Standard</th> <td>In case of defect with this product, it will be compensated according to the Consumer Dispute Settlement Standard announced by the Fair Trade Commission. <br></td></tr><tr><th scope=""row"">Customer Service</th> <td>+82-2-717-1821</td></tr></tbody></table></div></div></div></div>","The Acnes Clear & White Foaming Wash is a rich foam-type cleanser that cares for sebum and makes the skin soft and clear.It has the features of acne-prone skin suitability test completion, convenient foaming, clear skin care, oily skin, problem skin, vita-cica care, and refreshing feeling of use.It is a convenient foaming type cleanser that has been tested for use on acne-prone skin.",,,,,,,,,,,,,,,,,,,,,lb,,,TRUE,,,TRUE,,,active
acnes-clear-white-foaming-wash-1-1-special-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/b31c0b19-205e-4584-aa5e-7ff8bdd8b06f_3c64a91c-3a92-4c11-9e80-5e00817ac383.jpg?v=1742241611,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
